gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-pde6a|pde6a,22,8,10,24,30,48,18,0
gene-LOC109625519|LOC109625519,273,222,363,219,272,234,246,329
gene-rasgef1c|rasgef1c,16,36,26,60,11,34,24,25
gene-LOC109625913|LOC109625913,1670,1447,1466,882,1264,1928,2291,2178
gene-col23a1|col23a1,5,0,0,2,5,5,4,0
gene-gfpt2|gfpt2,71,59,82,78,64,49,44,83
gene-LOC109628677|LOC109628677,26,17,49,25,38,37,40,52
gene-LOC109626559|LOC109626559,16,6,19,12,22,21,16,25
gene-LOC109626552|LOC109626552,203,275,392,273,323,250,382,563
gene-LOC109624870|LOC109624870,16,10,130,17,23,34,57,40
gene-LOC109634664|LOC109634664,11,13,8,8,21,18,7,15
gene-LOC109632596|LOC109632596,2,4,7,0,7,6,5,0
gene-LOC109626425|LOC109626425,464,356,512,635,393,444,531,750
gene-simc1|simc1,105,74,98,50,125,60,80,117
gene-LOC109628268|LOC109628268,5685,4039,4449,2993,3457,4595,5890,6372
gene-LOC109628505|LOC109628505,0,0,0,6,0,8,11,16
gene-etf1|etf1,3566,2537,3000,2440,3574,2375,2252,2738
gene-LOC109635120|LOC109635120,0,0,3,0,0,0,0,0
gene-fbxw11|fbxw11,786,578,699,375,679,592,620,643
gene-LOC109623562|LOC109623562,3,2,2,0,4,4,0,4
gene-LOC109635553|LOC109635553,0,0,0,0,0,0,0,2
gene-LOC109635711|LOC109635711,0,0,2,0,0,0,1,0
gene-LOC109635254|LOC109635254,0,4,0,0,8,7,11,0
gene-LOC109623961|LOC109623961,0,0,5,0,4,1,2,6
gene-LOC109635318|LOC109635318,0,0,0,0,0,0,0,1
gene-LOC109635189|LOC109635189,6,14,14,6,8,10,4,13
gene-LOC109623776|LOC109623776,5,9,17,10,7,15,5,8
gene-LOC109647956|LOC109647956,61,105,164,75,87,109,86,110
gene-LOC109636115|LOC109636115,0,0,1,0,0,4,0,0
gene-LOC109636046|LOC109636046,0,0,3,0,0,0,0,0
gene-LOC109635860|LOC109635860,6,6,8,5,9,9,16,9
gene-LOC109635945|LOC109635945,1,0,0,3,7,3,3,0
gene-LOC109633112|LOC109633112,0,2,1,0,3,1,3,6
gene-LOC109635414|LOC109635414,4,3,6,5,7,5,11,6
gene-LOC109623670|LOC109623670,3,5,5,2,5,11,6,4
gene-LOC109633021|LOC109633021,2,6,3,2,6,8,6,4
gene-LOC109648067|LOC109648067,440,636,692,415,689,534,565,511
gene-LOC109627436|LOC109627436,10,8,13,0,0,8,18,15
gene-diaph1|diaph1,782,811,1047,581,902,887,1031,839
gene-dock2|dock2,74,89,173,41,164,94,129,95
gene-LOC109628671|LOC109628671,14,7,13,27,8,18,17,13
gene-wfs1|wfs1,65,55,139,90,60,56,78,164
gene-btbd18|btbd18,0,0,0,0,0,0,0,0
gene-LOC109636523|LOC109636523,11,12,24,9,12,19,26,17
gene-LOC109628409|LOC109628409,85,63,76,47,80,92,109,79
gene-smtnl1|smtnl1,11,11,12,5,15,14,20,16
gene-selenoh|selenoh,69,55,62,105,77,39,32,43
gene-slc43a3|slc43a3,267,273,303,235,314,298,257,162
gene-ctnnd1|ctnnd1,844,847,973,947,821,752,811,910
gene-clp1|clp1,158,89,106,71,137,91,109,128
gene-zdhhc5|zdhhc5,486,409,576,364,541,528,794,883
gene-tmx2|tmx2,68,100,105,105,138,82,127,169
gene-clcf1|clcf1,0,0,0,0,0,0,0,2
gene-ssrp1|ssrp1,470,342,644,234,623,421,321,417
gene-LOC109624317|LOC109624317,0,12,13,0,17,16,16,12
gene-LOC109628794|LOC109628794,11,21,31,20,18,22,23,46
gene-LOC109624760|LOC109624760,0,0,0,0,0,0,0,0
gene-LOC109628609|LOC109628609,131,97,99,173,117,82,101,60
gene-stap1|stap1,0,0,0,0,0,5,0,0
gene-LOC109636661|LOC109636661,0,0,0,0,0,0,0,0
gene-LOC109626904|LOC109626904,36,5,24,8,19,14,7,42
gene-LOC109626892|LOC109626892,293,215,153,100,168,157,135,192
gene-LOC109628102|LOC109628102,0,0,0,0,0,0,0,0
gene-LOC109624020|LOC109624020,0,0,0,0,0,0,0,0
gene-LOC109624081|LOC109624081,0,0,0,0,0,0,0,0
gene-LOC109627075|LOC109627075,0,0,0,0,0,0,0,0
gene-med19|med19,409,319,457,376,349,405,505,769
gene-slc43a1|slc43a1,121,112,88,83,192,102,162,105
gene-rad9a|rad9a,192,141,100,80,180,89,96,121
gene-LOC109632527|LOC109632527,15,19,15,15,11,10,26,13
gene-ran|ran,3512,2412,3615,3434,3448,3092,3419,4285
gene-kdm2a|kdm2a,410,369,454,251,392,425,401,451
gene-ankrd13d|ankrd13d,423,384,328,190,381,287,261,289
gene-LOC109624245|LOC109624245,0,0,0,0,0,0,0,0
gene-LOC109624799|LOC109624799,0,0,0,0,0,0,0,0
gene-LOC109627412|LOC109627412,32,53,50,8,75,32,48,42
gene-LOC109624564|LOC109624564,0,0,0,0,0,0,0,0
gene-LOC109624180|LOC109624180,26,21,12,9,16,43,133,195
gene-LOC109625731|LOC109625731,13,0,13,14,15,0,0,13
gene-LOC109626327|LOC109626327,4,0,16,42,0,0,5,8
gene-hmgxb3|hmgxb3,138,144,201,125,135,71,141,150
gene-csf1r|csf1r,106,204,336,44,259,127,95,181
gene-LOC109631751|LOC109631751,47,87,125,18,129,64,90,85
gene-LOC109627973|LOC109627973,214,195,235,446,240,148,270,278
gene-LOC109625181|LOC109625181,38,32,41,5,43,24,34,47
gene-LOC109628312|LOC109628312,19,10,11,0,19,25,22,15
gene-ints10|ints10,175,163,243,109,218,197,313,349
gene-klb|klb,0,0,0,4,4,0,0,0
gene-LOC109625892|LOC109625892,0,6,3,50,0,0,0,8
gene-LOC109629177|LOC109629177,0,0,0,0,0,0,0,0
gene-spock1|spock1,71,33,62,33,51,29,47,19
gene-rbm22|rbm22,391,274,500,283,437,304,367,510
gene-ndst1|ndst1,1306,1613,1438,840,1184,1128,1553,1260
gene-cd74|cd74,3426,4663,4231,3663,4787,4463,4430,4121
gene-slc35a4|slc35a4,59,69,117,55,86,65,75,123
gene-pdgfrb|pdgfrb,362,441,319,339,540,481,364,375
gene-cdx1|cdx1,7,0,7,0,0,0,0,5
gene-arsi|arsi,3,0,3,0,0,0,0,0
gene-LOC109628826|LOC109628826,193,167,350,166,293,165,154,382
gene-tmco6|tmco6,289,253,246,203,270,233,295,392
gene-LOC109624254|LOC109624254,633,577,1349,569,912,579,981,458
gene-LOC109628360|LOC109628360,215848,145433,147945,138205,149357,170631,221632,311139
gene-rnf20|rnf20,275,214,393,280,260,184,234,294
gene-LOC109626245|LOC109626245,1731,1547,1685,1447,1784,1035,1098,835
gene-LOC109631217|LOC109631217,10,8,0,11,0,0,8,0
gene-prpf19|prpf19,371,214,559,215,689,231,251,340
gene-LOC109625151|LOC109625151,192,190,1546,216,694,238,477,266
gene-mrpl18|mrpl18,229,150,416,272,302,262,385,772
gene-LOC109625166|LOC109625166,572,534,921,344,661,685,1169,1117
gene-LOC109625160|LOC109625160,1,0,1,3,0,3,0,0
gene-tomm5|tomm5,425,291,411,279,337,212,270,220
gene-slc25a51|slc25a51,290,193,302,114,285,214,264,292
gene-LOC109626133|LOC109626133,5,19,14,6,31,15,27,23
gene-LOC109627862|LOC109627862,715,567,652,422,601,487,490,752
gene-LOC109634755|LOC109634755,23,19,10,21,8,9,17,25
gene-LOC109624585|LOC109624585,8,8,0,3,0,5,7,0
gene-kiaa0141|kiaa0141,405,339,826,485,529,397,569,778
gene-eef1g|eef1g,39594,32553,35319,34357,37452,35979,40692,44440
gene-LOC109628761|LOC109628761,72,71,190,54,67,139,181,270
gene-LOC109626391|LOC109626391,567,478,315,379,420,463,487,715
gene-polr2g|polr2g,130,63,139,34,201,104,122,240
gene-ahnak|ahnak,254,332,358,146,505,363,293,243
gene-LOC109632228|LOC109632228,0,0,0,0,0,0,0,0
gene-mid2|mid2,35,23,61,31,74,44,48,95
gene-LOC109630475|LOC109630475,13082,10095,9691,7401,10984,9774,9564,8275
gene-trnak-uuu|trnak-uuu,0,0,0,0,0,0,0,0
gene-LOC109624576|LOC109624576,3,2,7,5,3,9,7,4
gene-LOC109624404|LOC109624404,0,0,0,0,0,0,0,0
gene-LOC109624895|LOC109624895,0,0,0,0,0,0,0,0
gene-LOC109636819|LOC109636819,0,0,0,0,0,0,0,0
gene-dpf2|dpf2,128,103,152,70,141,120,143,143
gene-ganab|ganab,905,1291,2283,1404,1853,3158,4375,10224
gene-trnaw-cca-5|trnaw-cca,0,0,0,0,0,0,0,0
gene-trnaw-cca-6|trnaw-cca,0,0,0,0,0,0,0,0
gene-trpt1|trpt1,86,53,206,50,158,84,90,130
gene-zbtb3|zbtb3,126,116,145,78,130,126,152,186
gene-LOC109636960|LOC109636960,0,6,1,0,8,4,0,0
gene-nxf1|nxf1,236,209,490,279,313,569,663,693
gene-LOC109642431|LOC109642431,2,0,0,0,3,0,5,0
gene-LOC109637036|LOC109637036,0,0,7,0,0,0,0,6
gene-dnajc4|dnajc4,254,259,248,141,213,236,308,286
gene-nudt22|nudt22,107,79,93,17,141,71,90,63
gene-trnaf-gaa|trnaf-gaa,0,0,0,0,0,0,0,0
gene-hnrnpab|hnrnpab,461,370,949,1337,571,406,492,1002
gene-LOC109641479|LOC109641479,327,259,405,248,445,327,366,521
gene-LOC109642975|LOC109642975,0,0,0,0,0,0,0,0
gene-LOC109644168|LOC109644168,22,43,20,21,29,13,10,0
gene-LOC109640547|LOC109640547,24,46,218,16,137,72,154,204
gene-LOC109628633|LOC109628633,3673,4940,3467,3658,2326,3492,4426,3706
gene-LOC109629002|LOC109629002,172,162,141,126,141,116,115,164
gene-LOC109625696|LOC109625696,844,995,1479,262,1297,1178,863,1219
gene-LOC109624979|LOC109624979,1560,1802,2524,862,1887,1887,2240,3469
gene-LOC109624602|LOC109624602,109,90,223,59,129,82,74,248
gene-pola2|pola2,68,43,40,30,70,33,40,30
gene-zdhhc24|zdhhc24,49,16,32,12,34,24,13,37
gene-LOC109627160|LOC109627160,126,102,177,81,161,94,156,291
gene-LOC109627217|LOC109627217,533,475,479,336,750,327,466,583
gene-LOC109624011|LOC109624011,8,3,11,0,6,16,7,4
gene-LOC109627229|LOC109627229,434,378,1622,383,1017,388,694,1013
gene-ubxn1|ubxn1,1844,1452,1441,1343,1671,1651,1552,1749
gene-LOC109628036|LOC109628036,157,84,164,59,152,100,140,153
gene-LOC109630728|LOC109630728,710,584,890,564,620,446,755,1005
gene-scyl1|scyl1,335,335,553,203,478,343,393,711
gene-LOC109636889|LOC109636889,1,0,0,0,0,0,0,0
gene-LOC109631304|LOC109631304,53,53,109,26,102,62,95,61
gene-macrod1|macrod1,805,752,904,659,722,882,944,854
gene-LOC109628649|LOC109628649,8,3,72,0,0,0,4,9
gene-fermt3|fermt3,59,62,265,27,165,68,151,105
gene-rnaseh2c|rnaseh2c,98,50,67,54,133,37,51,79
gene-LOC109642822|LOC109642822,103,65,44,34,39,30,22,9
gene-atg2a|atg2a,2075,2081,1916,789,1535,1615,2202,2117
gene-trmt112|trmt112,156,135,202,129,204,122,102,209
gene-LOC109639459|LOC109639459,202,234,402,289,247,203,205,247
gene-LOC109645140|LOC109645140,23,23,58,52,40,0,24,57
gene-stx5|stx5,750,701,1589,1418,1165,751,1024,1921
gene-vegfb|vegfb,615,697,790,889,493,612,774,953
gene-LOC109640354|LOC109640354,9,8,14,6,19,0,21,13
gene-LOC109644725|LOC109644725,124,73,140,353,86,119,125,156
gene-LOC109640932|LOC109640932,67,101,126,115,82,102,101,176
gene-rack1|rack1,50883,41369,46855,52605,44915,41594,48477,55836
gene-LOC109645314|LOC109645314,3,0,0,0,0,0,0,0
gene-phykpl|phykpl,147,151,167,100,116,166,159,141
gene-LOC109642574|LOC109642574,101,39,77,68,106,81,55,63
gene-kdm3b|kdm3b,1159,990,1484,771,1124,1018,1274,1096
gene-LOC109645985|LOC109645985,2,2,2,1,4,2,0,0
gene-LOC109643759|LOC109643759,983,599,869,407,638,831,865,1136
gene-egr1|egr1,431,110,1241,3154,211,119,876,2940
gene-LOC109645045|LOC109645045,37,66,97,22,78,53,51,82
gene-LOC109640762|LOC109640762,81,106,86,45,106,74,74,112
gene-LOC109624703|LOC109624703,58,96,42,169,95,31,26,31
gene-kiaa2022|kiaa2022,8,12,9,0,4,18,6,0
gene-LOC109624777|LOC109624777,2,0,30,0,7,0,0,0
gene-LOC109624817|LOC109624817,10,10,70,18,22,19,14,19
gene-LOC109624309|LOC109624309,973,1061,1297,1631,1052,592,676,1104
gene-slc25a53|slc25a53,24,21,119,33,47,24,59,209
gene-LOC109624363|LOC109624363,14,6,16,11,0,7,22,0
gene-prps1|prps1,318,324,823,608,452,371,489,1095
gene-LOC109627737|LOC109627737,247,189,268,109,297,150,226,252
gene-znf711|znf711,160,123,219,157,173,207,265,396
gene-LOC109627873|LOC109627873,441,568,705,174,424,411,596,578
gene-LOC109625994|LOC109625994,24,16,54,22,14,15,26,12
gene-LOC109626006|LOC109626006,523,393,637,303,673,427,600,831
gene-gria3|gria3,17,17,14,19,21,11,6,0
gene-LOC109633733|LOC109633733,11,5,5,0,0,6,0,0
gene-LOC109637186|LOC109637186,0,0,0,0,0,0,0,0
gene-LOC109630951|LOC109630951,0,0,0,0,0,0,0,0
gene-LOC109625300|LOC109625300,8,11,4,3,0,0,0,0
gene-LOC109625290|LOC109625290,0,0,0,0,0,0,0,0
gene-LOC109625324|LOC109625324,54,102,283,181,91,72,96,143
gene-ogt|ogt,1700,2277,1773,1167,1345,1209,1366,1261
gene-nsdhl|nsdhl,162,121,243,251,70,91,88,129
gene-znf185|znf185,261,200,154,76,154,200,89,32
gene-fut11|fut11,66,78,130,58,123,94,101,173
gene-LOC109625319|LOC109625319,2965,2292,1705,744,2219,2585,2111,1717
gene-LOC109645699|LOC109645699,0,4,9,0,0,2,0,0
gene-LOC109645797|LOC109645797,0,0,0,0,0,0,0,0
gene-LOC109642301|LOC109642301,0,6,5,0,5,5,9,5
gene-c1qtnf2|c1qtnf2,0,0,0,0,0,9,3,0
gene-atp7a|atp7a,710,581,753,344,781,672,953,915
gene-atp10b|atp10b,0,0,3,0,0,0,0,0
gene-LOC109642040|LOC109642040,0,0,0,0,0,0,6,3
gene-sept8|sept8,14,12,16,11,24,12,7,9
gene-gdf9|gdf9,13,12,23,18,12,35,10,16
gene-LOC109645500|LOC109645500,0,0,0,0,0,0,0,0
gene-kif3a|kif3a,88,88,140,79,132,118,126,218
gene-slu7|slu7,273,242,376,207,351,272,242,363
gene-LOC109637109|LOC109637109,171,120,52,27,99,92,108,86
gene-LOC109646177|LOC109646177,789,602,633,607,542,488,528,639
gene-LOC109643848|LOC109643848,17,16,9,20,19,15,17,8
gene-sfxn1|sfxn1,274,187,207,79,316,242,381,287
gene-LOC109642125|LOC109642125,5,0,8,0,7,0,3,4
gene-nudcd2|nudcd2,153,68,175,982,150,100,152,541
gene-ccng1|ccng1,42958,32802,39393,37604,40244,42591,46906,65003
gene-sowaha|sowaha,2,0,2,6,3,5,0,3
gene-LOC109646082|LOC109646082,775,476,1068,730,731,610,777,1137
gene-hspa4|hspa4,915,681,1683,2808,1460,771,783,1888
gene-LOC109644325|LOC109644325,469,357,1136,493,574,502,860,640
gene-LOC109645223|LOC109645223,2074,1858,2883,1600,2125,1970,2375,3120
gene-LOC109639770|LOC109639770,920,626,573,342,774,848,806,813
gene-LOC109642215|LOC109642215,5,0,0,0,0,0,0,4
gene-LOC109639697|LOC109639697,48,26,17,15,46,30,40,21
gene-zdhhc15|zdhhc15,35,26,38,13,50,52,55,55
gene-uprt|uprt,736,598,913,935,661,623,799,1496
gene-abcb7|abcb7,839,799,1170,728,932,520,801,1625
gene-eda|eda,41,32,30,27,26,55,53,24
gene-LOC109624678|LOC109624678,13,16,57,5,61,18,33,26
gene-LOC109628184|LOC109628184,28,18,19,6,35,40,28,15
gene-LOC109628178|LOC109628178,0,0,0,4,0,0,7,0
gene-LOC109628198|LOC109628198,7,0,6,12,0,7,0,0
gene-LOC109626734|LOC109626734,0,0,0,0,0,0,0,0
gene-LOC109627963|LOC109627963,0,0,0,0,0,0,0,0
gene-dok3|dok3,0,0,0,0,15,6,5,0
gene-vma21|vma21,747,711,943,551,827,589,760,578
gene-neurl1b|neurl1b,239,168,223,74,290,234,172,201
gene-ergic1|ergic1,318,262,805,433,619,579,902,2290
