gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-LOC109633196|LOC109633196,15,21,24,14,19,10,0,0
gene-ube2a|ube2a,692,779,1209,976,604,803,1152,1496
gene-nkrf|nkrf,1121,1205,986,638,930,990,1022,1046
gene-LOC109626412|LOC109626412,9,18,30,12,21,14,17,39
gene-sowahd|sowahd,163,135,154,90,209,166,215,228
gene-rpl39|rpl39,13787,11475,15039,15485,10447,10916,12801,12248
gene-upf3b|upf3b,562,553,731,253,592,557,724,937
gene-ndufa1|ndufa1,2424,2029,2719,2288,2301,1653,1708,1880
gene-atp1b4|atp1b4,0,0,9,0,6,10,12,0
gene-nkap|nkap,601,403,495,298,597,409,440,545
gene-cul4b|cul4b,285,223,378,223,278,266,320,447
gene-lamp2|lamp2,3375,3274,4448,2221,3976,3336,3708,3751
gene-LOC109624389|LOC109624389,0,3,8,0,0,0,0,0
gene-mcts1|mcts1,718,548,744,572,861,673,753,767
gene-c1galt1c1|c1galt1c1,589,618,1161,682,1014,857,1003,1631
gene-LOC109634004|LOC109634004,212,139,233,229,177,204,224,195
gene-LOC109634076|LOC109634076,0,0,0,0,0,0,2,10
gene-ocrl|ocrl,191,211,200,82,321,180,261,253
gene-sash3|sash3,13,7,15,0,18,19,20,14
gene-apln|apln,1875,1485,1225,595,875,1511,1201,465
gene-xpnpep2|xpnpep2,126,115,104,59,79,140,89,47
gene-zdhhc9|zdhhc9,121,96,166,148,119,123,140,163
gene-trmt12|trmt12,46,47,50,27,18,65,43,87
gene-sytl4|sytl4,133,112,246,79,205,98,115,78
gene-srpx2|srpx2,30,38,28,27,23,33,30,44
gene-tspan6|tspan6,3011,3210,2972,2731,3140,3141,3894,4929
gene-LOC109628440|LOC109628440,607,565,1136,1307,676,755,1188,1091
gene-arl13a|arl13a,4,5,0,0,0,0,0,0
gene-tmem35a|tmem35a,90,81,143,188,111,233,341,480
gene-cenpi|cenpi,0,10,24,0,24,10,25,13
gene-bcorl1|bcorl1,204,152,219,739,148,215,241,321
gene-trnav-uac|trnav-uac,0,0,0,0,0,0,0,0
gene-cstf2|cstf2,364,348,335,196,443,320,406,430
gene-nox1|nox1,12,14,20,0,15,20,9,12
gene-xkrx|xkrx,267,264,262,195,175,269,317,365
gene-taf7l|taf7l,546,419,301,142,474,336,274,220
gene-slc9a6|slc9a6,220,185,431,128,217,288,352,507
gene-LOC109625847|LOC109625847,438,425,472,220,518,434,374,418
gene-LOC109625905|LOC109625905,89,155,193,176,141,149,136,126
gene-arhgef6|arhgef6,747,688,897,440,720,688,784,744
gene-rbmx|rbmx,388,598,973,626,477,900,1032,1058
gene-LOC109634376|LOC109634376,19,13,35,68,9,9,26,101
gene-atp11c|atp11c,325,358,352,196,389,300,281,329
gene-fgf13|fgf13,0,0,0,0,0,0,5,0
gene-LOC109625043|LOC109625043,1478,1811,2841,1848,2623,1961,1580,2298
gene-LOC109627999|LOC109627999,50,51,48,93,34,33,44,49
gene-pdzd11|pdzd11,148,174,159,93,132,116,150,229
gene-LOC109627100|LOC109627100,0,0,3,0,0,0,0,1
gene-LOC109625236|LOC109625236,42,47,102,70,59,76,144,233
gene-arr3|arr3,0,0,13,0,0,0,16,22
gene-rab41|rab41,1137,1254,1512,1131,1558,865,937,1895
gene-LOC109627091|LOC109627091,4,0,2,3,0,0,0,5
gene-p2ry4|p2ry4,1063,980,691,387,775,740,601,289
gene-LOC109625283|LOC109625283,4,6,9,0,0,3,25,15
gene-LOC109628039|LOC109628039,103,83,137,67,112,91,98,140
gene-dlg3|dlg3,3360,2720,3068,2324,3009,3853,4245,6193
gene-LOC109624935|LOC109624935,1418,1101,1637,442,1280,1341,1379,2099
gene-tex11|tex11,11,0,0,0,0,0,0,0
gene-LOC109626925|LOC109626925,1579,1778,1606,1432,1339,1270,1382,1842
gene-LOC109626361|LOC109626361,0,9,20,7,27,10,23,29
gene-LOC109626955|LOC109626955,8,17,31,15,0,0,8,27
gene-slc25a43|slc25a43,132,246,230,120,184,142,126,314
gene-LOC109627855|LOC109627855,0,0,0,0,0,0,0,0
gene-mrpl11|mrpl11,20,17,79,29,65,32,31,47
gene-fosl1|fosl1,33,71,127,495,46,24,82,426
gene-yif1a|yif1a,602,537,1195,541,930,550,962,2149
gene-LOC109627700|LOC109627700,53,53,53,30,32,18,43,78
gene-LOC109627799|LOC109627799,1327,1299,1937,967,1381,1361,1641,2738
gene-LOC109626519|LOC109626519,2236,1797,4245,2248,2718,1598,1855,1529
gene-LOC109626511|LOC109626511,296,369,403,454,554,317,365,342
gene-LOC109628604|LOC109628604,720,583,868,356,676,793,788,1191
gene-LOC109628045|LOC109628045,489,323,367,502,239,366,543,922
gene-LOC109628952|LOC109628952,195,100,128,70,211,150,120,109
gene-alg13|alg13,264,165,270,210,278,188,242,363
gene-LOC109625519|LOC109625519,317,242,425,252,332,278,298,385
gene-LOC109625485|LOC109625485,1912,2212,1285,668,1482,1688,1778,1464
gene-LOC109625926|LOC109625926,40,68,139,68,63,45,75,155
gene-rasgef1c|rasgef1c,19,43,29,74,16,38,29,33
gene-LOC109625913|LOC109625913,1994,1713,1759,1077,1510,2279,2774,2655
gene-col23a1|col23a1,5,0,0,2,9,5,5,0
gene-gfpt2|gfpt2,91,74,95,100,79,57,56,107
gene-LOC109628677|LOC109628677,30,22,58,31,40,45,47,62
gene-LOC109626559|LOC109626559,19,8,23,14,21,24,20,30
gene-LOC109626552|LOC109626552,243,326,460,329,376,295,471,690
gene-LOC109624870|LOC109624870,19,14,165,23,25,39,71,52
gene-LOC109628268|LOC109628268,6819,4940,5334,3657,4174,5522,7263,7829
gene-LOC109634664|LOC109634664,15,15,12,10,29,23,8,20
gene-LOC109632596|LOC109632596,3,5,8,0,7,8,7,0
gene-LOC109624799|LOC109624799,0,0,0,0,0,0,0,0
gene-LOC109626425|LOC109626425,534,428,624,804,465,524,659,908
gene-simc1|simc1,122,87,112,58,148,77,92,144
gene-LOC109624564|LOC109624564,0,0,0,0,0,0,0,0
gene-LOC109627412|LOC109627412,41,60,64,9,88,39,58,55
gene-LOC109624180|LOC109624180,32,25,15,10,19,47,179,236
gene-LOC109625731|LOC109625731,17,0,14,20,18,0,0,15
gene-rbm22|rbm22,460,328,579,340,522,357,461,647
gene-ndst1|ndst1,1551,1916,1734,1047,1420,1377,1940,1556
gene-LOC109626327|LOC109626327,4,0,20,48,0,0,5,8
gene-slc35a4|slc35a4,71,79,142,61,106,81,91,152
gene-cd74|cd74,4046,5554,5079,4392,5702,5324,5396,5105
gene-hmgxb3|hmgxb3,178,170,246,143,168,93,170,185
gene-csf1r|csf1r,123,257,397,50,316,159,117,219
gene-arsi|arsi,3,0,3,0,0,0,0,0
gene-pdgfrb|pdgfrb,419,539,395,433,672,582,469,451
gene-LOC109631751|LOC109631751,50,103,145,23,137,63,107,87
gene-cdx1|cdx1,8,0,8,0,0,0,0,5
gene-LOC109628826|LOC109628826,208,182,386,200,341,194,186,447
gene-tmco6|tmco6,337,303,282,234,315,255,343,481
gene-LOC109624254|LOC109624254,740,681,1559,686,1128,707,1206,536
gene-LOC109628360|LOC109628360,256364,174120,177285,167358,179022,204561,272741,383269
gene-rnf20|rnf20,330,267,469,341,307,223,287,364
gene-LOC109626245|LOC109626245,2048,1879,2003,1766,2120,1266,1323,1021
gene-LOC109627973|LOC109627973,253,231,289,542,295,175,337,328
gene-LOC109631217|LOC109631217,10,10,0,11,0,0,9,0
gene-prpf19|prpf19,440,270,695,265,830,297,306,418
gene-LOC109625151|LOC109625151,236,233,1884,269,855,302,600,345
gene-mrpl18|mrpl18,280,194,501,329,361,310,473,972
gene-LOC109625166|LOC109625166,684,650,1129,410,799,805,1466,1379
gene-LOC109625181|LOC109625181,44,41,57,5,45,27,42,49
gene-tomm5|tomm5,516,359,516,333,419,275,342,276
gene-LOC109628312|LOC109628312,24,12,12,0,20,28,30,17
gene-ints10|ints10,219,205,310,136,267,232,388,430
gene-slc25a51|slc25a51,343,229,357,129,330,250,312,359
gene-LOC109626133|LOC109626133,5,22,17,8,36,16,32,27
gene-LOC109627862|LOC109627862,871,691,803,517,736,581,638,944
gene-LOC109634755|LOC109634755,33,23,15,28,10,11,21,28
gene-LOC109624585|LOC109624585,10,8,0,4,0,6,9,0
gene-kiaa0141|kiaa0141,474,391,962,603,600,496,678,966
gene-LOC109628505|LOC109628505,0,0,0,7,0,12,12,16
gene-spock1|spock1,83,39,68,41,67,38,57,24
gene-etf1|etf1,4255,3067,3621,2976,4325,2845,2753,3403
gene-fbxw11|fbxw11,901,675,848,442,802,700,748,806
gene-LOC109635120|LOC109635120,0,0,2,0,0,0,0,0
gene-LOC109635189|LOC109635189,8,14,16,5,9,9,2,11
gene-LOC109635254|LOC109635254,0,4,0,0,10,8,12,0
gene-LOC109623776|LOC109623776,5,11,18,14,8,18,5,9
gene-LOC109647956|LOC109647956,73,135,193,97,108,132,113,146
gene-LOC109623562|LOC109623562,3,4,3,0,5,5,0,5
gene-LOC109633112|LOC109633112,0,3,1,5,3,1,6,6
gene-LOC109635414|LOC109635414,4,0,4,3,5,5,5,2
gene-LOC109623670|LOC109623670,3,5,5,2,4,9,7,3
gene-LOC109633021|LOC109633021,2,8,5,3,10,8,8,10
gene-LOC109635553|LOC109635553,0,0,0,0,0,0,0,2
gene-LOC109635860|LOC109635860,6,5,6,6,8,10,23,13
gene-LOC109635945|LOC109635945,0,0,0,3,7,3,3,0
gene-LOC109636046|LOC109636046,2,0,0,0,0,0,0,0
gene-LOC109636115|LOC109636115,0,0,0,0,0,5,0,0
gene-LOC109648067|LOC109648067,535,773,838,502,826,670,693,648
gene-diaph1|diaph1,914,964,1220,686,1062,1047,1242,994
gene-LOC109627481|LOC109627481,0,1,0,0,0,0,0,0
gene-LOC109627436|LOC109627436,14,10,14,0,0,9,21,22
gene-dock2|dock2,90,106,208,47,207,104,158,117
gene-LOC109628671|LOC109628671,17,9,17,35,9,21,19,25
gene-LOC109628409|LOC109628409,105,76,82,53,95,116,111,95
gene-wfs1|wfs1,75,65,165,106,76,61,106,197
gene-LOC109636523|LOC109636523,11,15,31,13,17,25,35,21
gene-btbd18|btbd18,0,0,0,0,0,0,0,0
gene-smtnl1|smtnl1,14,14,18,5,19,16,28,19
gene-ctnnd1|ctnnd1,1003,974,1145,1141,964,899,973,1137
gene-slc43a3|slc43a3,317,324,371,300,371,367,324,202
gene-selenoh|selenoh,75,57,66,121,77,41,35,45
gene-clp1|clp1,184,118,123,79,157,106,127,148
gene-zdhhc5|zdhhc5,566,475,710,437,653,635,1002,1088
gene-tmx2|tmx2,85,118,136,136,164,97,163,198
gene-med19|med19,491,392,559,451,423,492,637,974
gene-slc43a1|slc43a1,135,141,108,100,229,123,191,131
gene-LOC109624317|LOC109624317,0,11,15,0,15,22,17,11
gene-ssrp1|ssrp1,543,405,752,288,728,509,382,517
gene-LOC109628794|LOC109628794,12,28,42,23,20,26,31,57
gene-rad9a|rad9a,235,184,122,111,224,103,118,151
gene-LOC109632527|LOC109632527,18,17,19,18,19,10,33,16
gene-LOC109624760|LOC109624760,0,0,0,0,0,0,0,0
gene-ran|ran,4283,2951,4456,4280,4206,3780,4243,5387
gene-LOC109628609|LOC109628609,156,125,115,222,139,96,135,82
gene-kdm2a|kdm2a,491,436,536,311,457,510,489,544
gene-ankrd13d|ankrd13d,518,464,395,224,468,343,328,359
gene-LOC109626904|LOC109626904,45,5,31,11,24,16,8,53
gene-LOC109626892|LOC109626892,331,266,180,123,197,197,159,225
gene-ahnak|ahnak,249,313,366,143,515,354,286,244
gene-LOC109628761|LOC109628761,81,89,222,62,79,171,217,344
gene-LOC109632228|LOC109632228,0,0,0,0,0,0,0,0
gene-LOC109627075|LOC109627075,0,0,0,0,0,0,0,0
gene-eef1g|eef1g,48113,40101,43348,42411,45875,44252,51074,55836
gene-LOC109626391|LOC109626391,666,580,374,481,495,548,606,892
gene-polr2g|polr2g,161,77,168,40,249,138,149,311
gene-LOC109628633|LOC109628633,4370,5957,4166,4540,2824,4231,5489,4594
gene-mid2|mid2,38,29,66,35,90,50,58,115
gene-trnak-uuu|trnak-uuu,0,0,0,0,0,0,0,0
gene-LOC109629002|LOC109629002,211,194,164,144,176,139,140,197
gene-LOC109630475|LOC109630475,15679,12246,11841,9149,13362,11963,11843,10404
gene-LOC109624576|LOC109624576,3,2,8,5,3,9,8,5
gene-LOC109624602|LOC109624602,131,109,271,67,155,105,107,307
gene-pola2|pola2,76,48,47,39,85,40,51,36
gene-LOC109625696|LOC109625696,995,1180,1756,339,1551,1407,1050,1510
gene-LOC109624979|LOC109624979,1817,2109,3020,1045,2207,2233,2711,4214
gene-zdhhc24|zdhhc24,48,14,43,12,31,21,17,38
gene-dpf2|dpf2,143,119,183,81,167,146,172,163
gene-LOC109627160|LOC109627160,158,122,214,102,195,122,192,350
gene-LOC109627217|LOC109627217,639,569,589,393,892,390,578,707
gene-LOC109624011|LOC109624011,10,4,12,0,7,11,10,0
gene-LOC109627229|LOC109627229,518,448,1953,475,1231,480,870,1281
gene-ubxn1|ubxn1,2122,1669,1675,1561,1926,1929,1832,2128
gene-LOC109628036|LOC109628036,186,106,198,73,183,123,183,182
gene-ganab|ganab,1072,1552,2760,1753,2251,3805,5406,12661
gene-LOC109630728|LOC109630728,832,689,1074,686,738,537,945,1242
gene-scyl1|scyl1,398,402,659,231,565,406,492,864
gene-LOC109631304|LOC109631304,59,63,127,31,136,74,117,79
gene-trnaw-cca-5|trnaw-cca,0,0,0,0,0,0,0,0
gene-trnaw-cca-6|trnaw-cca,0,0,0,0,0,0,0,0
gene-fermt3|fermt3,73,77,322,32,198,88,186,137
gene-macrod1|macrod1,973,911,1077,798,859,1082,1145,1067
gene-LOC109628649|LOC109628649,8,3,92,0,0,0,5,11
gene-LOC109636960|LOC109636960,0,7,0,0,9,4,0,0
gene-trpt1|trpt1,104,56,245,56,199,100,111,158
gene-zbtb3|zbtb3,147,135,173,97,161,153,184,223
gene-rnaseh2c|rnaseh2c,112,63,71,63,154,45,56,104
gene-LOC109642822|LOC109642822,134,79,52,38,44,34,24,11
gene-nxf1|nxf1,272,248,584,333,376,698,816,860
gene-trmt112|trmt112,186,169,245,161,251,150,127,267
gene-LOC109642431|LOC109642431,2,0,0,0,3,0,4,0
gene-atg2a|atg2a,2448,2535,2324,946,1823,1924,2660,2582
gene-LOC109639459|LOC109639459,236,276,470,366,293,244,246,309
gene-LOC109645140|LOC109645140,24,30,68,66,42,0,28,68
gene-stx5|stx5,895,840,1935,1680,1419,907,1242,2417
gene-vegfb|vegfb,711,821,907,1081,587,744,948,1157
gene-dnajc4|dnajc4,315,322,299,177,248,290,377,365
gene-nudt22|nudt22,118,90,104,21,170,92,111,84
gene-LOC109640354|LOC109640354,9,11,17,7,17,0,21,17
gene-LOC109644725|LOC109644725,145,80,162,439,96,142,159,205
gene-LOC109640932|LOC109640932,85,118,153,136,105,121,118,215
gene-LOC109645314|LOC109645314,3,0,0,0,0,0,0,0
gene-rack1|rack1,60794,50015,56436,64225,54353,50189,59671,69101
gene-LOC109642574|LOC109642574,123,44,91,88,130,91,67,77
gene-hnrnpab|hnrnpab,536,466,1135,1633,715,481,596,1248
gene-phykpl|phykpl,178,180,206,117,138,205,198,167
gene-LOC109641479|LOC109641479,407,313,515,301,541,385,459,635
gene-kdm3b|kdm3b,1383,1173,1766,908,1328,1226,1501,1338
gene-LOC109645985|LOC109645985,2,2,2,2,4,2,0,0
gene-LOC109644168|LOC109644168,24,48,22,24,38,18,13,0
gene-LOC109643759|LOC109643759,983,610,884,419,632,856,849,1261
gene-egr1|egr1,516,125,1500,3770,253,139,1090,3543
gene-LOC109640547|LOC109640547,28,55,268,18,171,89,195,244
gene-LOC109645045|LOC109645045,40,74,111,31,89,61,65,100
gene-LOC109640762|LOC109640762,102,129,103,55,129,92,96,135
gene-LOC109642301|LOC109642301,0,8,8,0,7,5,11,5
gene-slu7|slu7,329,320,448,242,429,345,307,450
gene-LOC109637109|LOC109637109,202,138,63,36,128,115,127,109
gene-LOC109646177|LOC109646177,1149,808,954,866,789,671,749,913
gene-LOC109643848|LOC109643848,17,15,5,16,15,6,15,6
gene-LOC109642125|LOC109642125,5,0,6,0,7,0,3,6
gene-atp7a|atp7a,816,711,896,415,927,790,1152,1095
gene-sfxn1|sfxn1,327,223,251,97,386,290,455,342
gene-LOC109642040|LOC109642040,0,0,0,0,0,0,7,0
gene-sept8|sept8,16,16,17,11,31,18,9,10
gene-sowaha|sowaha,2,0,3,7,3,5,3,3
gene-gdf9|gdf9,14,13,26,24,16,36,12,30
gene-LOC109646082|LOC109646082,914,602,1310,883,883,747,989,1433
gene-nudcd2|nudcd2,182,86,226,1231,188,119,193,668
gene-ccng1|ccng1,51621,40076,47739,46306,48755,52462,58467,81136
gene-hspa4|hspa4,1077,817,2057,3449,1748,953,960,2364
gene-LOC109644325|LOC109644325,560,438,1382,591,687,596,1059,776
gene-LOC109645223|LOC109645223,2470,2242,3536,1944,2599,2387,2960,3870
gene-LOC109642215|LOC109642215,5,0,0,0,0,0,0,5
gene-LOC109639770|LOC109639770,1105,728,673,383,937,1030,983,996
gene-LOC109639697|LOC109639697,55,34,22,17,53,38,44,23
gene-kif3a|kif3a,103,106,167,95,149,136,150,262
gene-kiaa2022|kiaa2022,13,12,10,0,5,22,7,0
gene-zdhhc15|zdhhc15,45,31,45,14,58,61,65,69
gene-uprt|uprt,916,733,1098,1126,822,765,989,1857
gene-abcb7|abcb7,1013,986,1411,886,1113,623,979,2010
gene-LOC109624703|LOC109624703,75,122,55,203,112,34,32,38
gene-LOC109624777|LOC109624777,2,0,34,0,8,0,0,0
gene-LOC109624309|LOC109624309,1193,1274,1558,2018,1275,716,835,1398
gene-LOC109624817|LOC109624817,12,16,83,29,25,21,21,24
gene-prps1|prps1,370,383,1003,743,537,429,585,1369
gene-slc25a53|slc25a53,29,24,141,37,48,25,66,251
gene-LOC109624363|LOC109624363,17,7,22,18,0,7,27,0
gene-LOC109627737|LOC109627737,304,227,318,128,350,177,276,311
gene-znf711|znf711,198,146,279,188,209,254,323,487
gene-LOC109627873|LOC109627873,531,679,862,221,521,501,757,713
gene-LOC109626006|LOC109626006,614,483,770,365,800,504,749,1031
gene-LOC109625994|LOC109625994,28,20,62,26,19,17,32,14
gene-LOC109633733|LOC109633733,10,8,5,0,0,7,7,0
gene-LOC109630951|LOC109630951,0,0,0,0,0,0,0,0
gene-ogt|ogt,1965,2697,2047,1380,1584,1439,1645,1573
gene-nsdhl|nsdhl,197,146,296,311,94,101,109,171
gene-znf185|znf185,260,228,170,84,173,213,93,34
gene-fut11|fut11,88,102,164,75,137,115,127,217
gene-LOC109625300|LOC109625300,10,13,5,4,0,0,0,0
gene-LOC109625290|LOC109625290,0,0,0,0,0,0,0,0
gene-LOC109625324|LOC109625324,64,124,327,219,113,96,122,182
gene-LOC109625319|LOC109625319,3512,2782,2053,905,2631,3027,2573,2095
gene-eda|eda,50,36,43,39,28,64,75,26
gene-LOC109624678|LOC109624678,17,23,67,0,69,20,40,37
gene-gria3|gria3,18,19,16,24,26,13,9,6
gene-LOC109628184|LOC109628184,39,22,28,8,37,44,36,16
gene-LOC109628198|LOC109628198,8,0,8,14,0,9,0,0
gene-vma21|vma21,889,835,1137,659,987,709,911,729
gene-neurl1b|neurl1b,290,209,265,97,365,271,215,257
gene-ergic1|ergic1,371,325,993,546,756,710,1133,2862
gene-flt4|flt4,369,220,191,102,288,386,194,193
gene-LOC109625061|LOC109625061,3,0,5,0,0,0,0,3
gene-LOC109625762|LOC109625762,1013,652,838,527,717,696,724,868
gene-LOC109625077|LOC109625077,150,89,45,74,125,163,111,104
gene-prelid1|prelid1,2644,1789,2491,2320,1944,1634,1926,3262
gene-fam193b|fam193b,210,208,201,120,223,207,234,254
gene-ddx41|ddx41,491,322,507,239,557,360,483,601
gene-LOC109624501|LOC109624501,3,3,0,3,5,0,0,6
gene-pdlim7|pdlim7,115,113,101,53,134,121,120,130
gene-cltb|cltb,465,434,833,378,685,460,678,906
gene-higd2a|higd2a,521,301,536,259,534,259,308,451
gene-LOC109625099|LOC109625099,2297,1875,2320,1775,2451,2075,2061,2184
gene-hnrnph1|hnrnph1,260,236,488,309,351,262,357,671
gene-LOC109625685|LOC109625685,459,415,698,263,488,434,471,732
gene-LOC109625710|LOC109625710,388,102,280,334,716,675,465,137
gene-LOC109628084|LOC109628084,5,0,5,5,0,0,0,5
gene-rmnd5b|rmnd5b,537,456,835,447,615,525,783,1119
gene-LOC109647601|LOC109647601,248,289,258,147,198,230,220,198
gene-trnaa-cgc|trnaa-cgc,0,0,1,0,1,0,0,0
gene-trnaa-ugc|trnaa-ugc,0,0,0,0,0,0,0,0
gene-anxa6|anxa6,785,915,1339,628,982,1494,1917,2444
gene-tnip1|tnip1,2660,2552,14347,3470,14733,2503,3787,4159
gene-gpx3|gpx3,2831,3112,6254,3054,5576,2905,4510,4385
gene-dctn4|dctn4,672,560,613,364,670,538,462,668
gene-synpo|synpo,187,230,179,173,289,212,281,243
gene-LOC109626270|LOC109626270,403,373,329,123,343,214,275,331
gene-lrrtm2|lrrtm2,0,2,0,0,0,0,0,0
gene-LOC109637355|LOC109637355,1391,1362,1428,837,1656,986,1054,898
gene-LOC109630394|LOC109630394,0,0,0,0,0,0,0,0
gene-sncb|sncb,34,31,27,16,16,12,20,13
gene-gprin1|gprin1,36,37,266,82,254,50,113,36
gene-cdhr2|cdhr2,220,309,2070,336,2096,408,1004,378
gene-rnf44|rnf44,217,233,232,87,156,243,308,501
gene-faf2|faf2,865,730,1200,705,1128,706,771,1163
gene-pin4|pin4,435,359,436,337,396,394,439,556
gene-LOC109626761|LOC109626761,285,234,379,185,289,191,154,240
gene-bnip1|bnip1,20,12,85,19,68,34,17,188
gene-LOC109624149|LOC109624149,313,315,764,307,361,272,556,446
gene-adam19|adam19,0,0,20,8,62,14,14,12
gene-LOC109639853|LOC109639853,36243,27372,32852,38207,30403,27746,32262,37798
gene-thg1l|thg1l,79,53,121,42,78,73,95,170
gene-lsm11|lsm11,57,81,91,46,99,51,66,121
gene-clint1|clint1,1849,1692,3533,1479,2718,2308,2679,4709
gene-ebf1|ebf1,0,0,0,0,0,5,0,9
gene-LOC109626189|LOC109626189,56,61,55,86,59,88,82,122
gene-LOC109637560|LOC109637560,236,225,234,105,228,298,275,300
gene-afap1l1|afap1l1,144,129,91,91,61,112,136,82
gene-LOC109627611|LOC109627611,0,6,0,0,0,0,0,0
gene-syce3|syce3,10,0,12,5,0,0,0,5
gene-LOC109627129|LOC109627129,0,0,0,0,0,0,0,0
