gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-LOC109633196|LOC109633196,14,17,16,0,12,8,0,0
gene-LOC109631751|LOC109631751,46,90,127,20,125,57,97,69
gene-LOC109632596|LOC109632596,3,5,6,0,7,6,7,0
gene-rbm22|rbm22,387,271,477,283,445,306,390,541
gene-ndst1|ndst1,1433,1769,1609,967,1321,1278,1823,1457
gene-cd74|cd74,3329,4777,4331,3856,5011,4560,4948,4471
gene-slc35a4|slc35a4,59,64,121,51,85,62,73,134
gene-pdgfrb|pdgfrb,351,456,322,370,557,495,388,384
gene-cdx1|cdx1,8,0,7,0,0,0,0,5
gene-LOC109628360|LOC109628360,230111,155609,162088,151404,160376,183219,241602,346050
gene-LOC109627973|LOC109627973,216,195,246,448,246,148,288,272
gene-LOC109631217|LOC109631217,7,0,0,8,0,0,0,0
gene-rnf20|rnf20,286,244,425,309,279,192,253,335
gene-LOC109626245|LOC109626245,1872,1691,1786,1577,1898,1137,1161,908
gene-prpf19|prpf19,389,240,603,237,731,260,272,366
gene-LOC109625151|LOC109625151,216,210,1659,242,770,264,525,308
gene-LOC109625181|LOC109625181,37,33,37,5,39,17,31,39
gene-LOC109625166|LOC109625166,606,556,969,359,684,670,1267,1163
gene-mrpl18|mrpl18,245,141,371,258,278,230,340,769
gene-LOC109625160|LOC109625160,3,3,5,11,4,8,4,6
gene-tomm5|tomm5,451,329,467,291,349,237,298,250
gene-LOC109628312|LOC109628312,21,12,9,0,14,27,28,15
gene-ints10|ints10,208,178,282,115,245,214,341,384
gene-slc25a51|slc25a51,315,216,307,115,311,234,286,326
gene-LOC109626133|LOC109626133,5,22,18,8,34,15,28,26
gene-LOC109634755|LOC109634755,25,21,11,23,11,6,18,24
gene-LOC109627862|LOC109627862,755,615,734,471,652,521,581,830
gene-LOC109624585|LOC109624585,9,7,0,4,0,0,7,0
gene-LOC109625892|LOC109625892,0,8,4,46,0,0,0,10
gene-kiaa0141|kiaa0141,410,318,777,468,469,400,530,772
gene-spock1|spock1,71,33,51,30,52,30,49,18
gene-LOC109628505|LOC109628505,0,0,0,7,0,0,10,16
gene-etf1|etf1,3855,2855,3333,2728,3968,2594,2507,3159
gene-LOC109635120|LOC109635120,0,0,0,0,0,0,0,0
gene-fbxw11|fbxw11,823,611,777,405,750,652,690,747
gene-LOC109623562|LOC109623562,2,1,3,0,5,4,0,5
gene-LOC109635189|LOC109635189,0,10,16,4,7,13,3,9
gene-LOC109635254|LOC109635254,0,5,0,0,6,6,10,0
gene-LOC109623961|LOC109623961,0,1,5,1,5,1,0,3
gene-LOC109635318|LOC109635318,0,0,0,1,0,0,0,0
gene-LOC109623776|LOC109623776,9,8,11,10,6,9,4,10
gene-LOC109647956|LOC109647956,66,132,185,88,104,124,105,134
gene-LOC109635553|LOC109635553,0,0,0,0,0,0,0,2
gene-LOC109633112|LOC109633112,0,3,2,5,4,3,7,4
gene-LOC109635414|LOC109635414,3,0,0,4,5,7,5,4
gene-LOC109623670|LOC109623670,3,5,3,1,2,9,3,3
gene-LOC109633021|LOC109633021,3,6,8,2,9,2,10,7
gene-LOC109635945|LOC109635945,0,0,0,0,6,3,3,0
gene-LOC109635860|LOC109635860,5,0,8,4,6,8,14,10
gene-LOC109636115|LOC109636115,0,0,0,0,0,5,0,0
gene-LOC109648067|LOC109648067,511,730,795,463,756,619,661,612
gene-trpc7|trpc7,0,0,0,0,0,0,0,0
gene-diaph1|diaph1,819,873,1110,608,955,930,1131,890
gene-LOC109627436|LOC109627436,13,8,11,0,0,7,18,13
gene-tlx3|tlx3,0,0,0,0,0,0,0,0
gene-dock2|dock2,74,94,181,40,163,89,128,108
gene-LOC109628671|LOC109628671,13,7,16,27,6,17,17,23
gene-smtnl1|smtnl1,12,13,12,4,16,13,27,14
gene-LOC109628409|LOC109628409,91,63,69,44,73,95,93,75
gene-LOC109627637|LOC109627637,0,0,0,0,0,0,0,0
gene-LOC109627652|LOC109627652,0,0,0,0,0,0,0,0
gene-LOC109627658|LOC109627658,0,0,0,0,0,0,0,0
gene-btbd18|btbd18,18,0,5,7,13,10,0,3
gene-ctnnd1|ctnnd1,915,891,1047,1053,893,818,872,1058
gene-wfs1|wfs1,66,51,132,84,63,38,80,140
gene-LOC109636523|LOC109636523,12,14,28,8,19,23,31,24
gene-LOC109628609|LOC109628609,149,115,103,203,125,84,116,73
gene-kdm2a|kdm2a,455,368,484,282,420,472,430,498
gene-ankrd13d|ankrd13d,448,398,346,186,387,277,271,309
gene-LOC109626904|LOC109626904,41,4,29,11,22,15,0,48
gene-LOC109624290|LOC109624290,0,0,12,233,2,0,0,3
gene-LOC109636609|LOC109636609,0,0,8,0,0,0,7,0
gene-clcf1|clcf1,0,0,0,0,0,0,0,0
gene-ssrp1|ssrp1,521,379,676,265,675,478,363,494
gene-LOC109624317|LOC109624317,0,9,14,0,14,16,14,0
gene-LOC109628794|LOC109628794,12,25,35,20,13,22,30,50
gene-LOC109624760|LOC109624760,0,0,0,0,0,0,0,0
gene-slc43a3|slc43a3,250,264,296,249,309,289,258,157
gene-selenoh|selenoh,77,59,71,110,78,39,36,43
gene-clp1|clp1,159,101,118,80,142,96,117,134
gene-zdhhc5|zdhhc5,489,407,596,376,560,546,848,924
gene-tmx2|tmx2,69,83,110,106,130,71,122,148
gene-med19|med19,412,333,482,395,359,422,550,829
gene-slc43a1|slc43a1,105,128,84,88,185,105,163,106
gene-rad9a|rad9a,203,154,87,93,176,84,89,131
gene-LOC109632527|LOC109632527,19,15,17,14,16,7,33,12
gene-ran|ran,3921,2703,4062,3930,3894,3493,3865,4963
gene-LOC109626892|LOC109626892,292,238,159,110,170,164,137,200
gene-ahnak|ahnak,215,276,296,118,442,290,254,219
gene-LOC109628761|LOC109628761,81,80,125,55,73,159,129,185
gene-LOC109629434|LOC109629434,0,0,0,0,0,0,0,0
gene-eef1g|eef1g,43490,36540,39603,39056,42546,40594,47680,50169
gene-LOC109626391|LOC109626391,618,557,339,448,467,518,570,823
gene-polr2g|polr2g,150,75,152,37,216,116,121,278
gene-LOC109632228|LOC109632228,0,0,0,0,0,0,0,0
gene-LOC109628633|LOC109628633,3825,4931,3632,3925,2345,3489,4554,3770
gene-mid2|mid2,32,28,57,34,76,45,53,91
gene-trnak-uuu|trnak-uuu,0,0,0,0,0,0,0,0
gene-LOC109629002|LOC109629002,173,150,133,125,149,105,106,162
gene-LOC109630475|LOC109630475,14446,11450,10969,8496,12502,11046,11152,9701
gene-LOC109625696|LOC109625696,794,982,1428,270,1275,1139,866,1234
gene-vegfb|vegfb,619,714,798,913,502,647,843,992
gene-dnajc4|dnajc4,282,269,243,155,205,239,307,287
gene-nudt22|nudt22,68,65,71,16,127,66,82,48
gene-LOC109640354|LOC109640354,0,6,0,0,16,0,0,16
gene-LOC109644725|LOC109644725,110,58,125,346,73,113,119,151
gene-LOC109640932|LOC109640932,75,94,129,113,87,102,98,190
gene-LOC109624576|LOC109624576,3,2,6,4,3,5,4,0
gene-LOC109624404|LOC109624404,0,0,0,0,0,0,0,0
gene-pola2|pola2,60,37,42,36,58,33,39,32
gene-LOC109624895|LOC109624895,0,0,0,0,0,0,0,0
gene-LOC109636819|LOC109636819,0,0,0,0,0,0,0,0
gene-dpf2|dpf2,129,108,165,72,152,120,152,150
gene-ganab|ganab,843,1170,2121,1345,1754,2939,4115,10012
gene-LOC109636889|LOC109636889,0,0,0,0,0,0,0,0
gene-fermt3|fermt3,60,63,280,25,173,72,150,116
gene-trnaw-cca-5|trnaw-cca,0,0,0,0,0,0,0,0
gene-trnaw-cca-6|trnaw-cca,0,0,0,0,0,0,0,0
gene-trpt1|trpt1,63,39,175,42,131,65,76,104
gene-zbtb3|zbtb3,114,107,137,79,114,115,140,175
gene-LOC109636960|LOC109636960,0,7,0,0,6,4,0,0
gene-nxf1|nxf1,230,205,483,261,294,562,672,680
gene-LOC109642431|LOC109642431,0,0,0,0,2,0,4,0
gene-LOC109637036|LOC109637036,0,0,10,10,0,0,0,5
gene-LOC109624979|LOC109624979,1635,1848,2650,912,1924,1937,2337,3716
gene-LOC109624602|LOC109624602,95,83,178,44,96,61,69,186
gene-zdhhc24|zdhhc24,35,12,34,11,23,18,14,30
gene-LOC109627160|LOC109627160,108,87,162,72,143,97,132,240
gene-LOC109627217|LOC109627217,518,436,488,306,708,325,463,530
gene-LOC109624011|LOC109624011,10,4,11,0,7,11,6,0
gene-LOC109627229|LOC109627229,451,378,1713,397,1040,398,732,1064
gene-ubxn1|ubxn1,1920,1497,1494,1385,1730,1718,1627,1912
gene-LOC109628036|LOC109628036,152,80,166,65,152,105,142,149
gene-LOC109630728|LOC109630728,552,437,725,437,468,341,614,836
gene-scyl1|scyl1,340,328,554,187,467,318,402,702
gene-LOC109631304|LOC109631304,45,45,102,21,117,56,97,67
gene-macrod1|macrod1,722,664,809,581,646,814,843,751
gene-LOC109628649|LOC109628649,8,3,84,0,0,0,4,11
gene-rnaseh2c|rnaseh2c,66,42,48,38,95,22,32,76
gene-LOC109642822|LOC109642822,101,52,37,28,34,20,16,9
gene-atg2a|atg2a,2074,2184,1927,803,1588,1624,2262,2212
gene-trmt112|trmt112,160,149,198,137,200,125,102,233
gene-LOC109639459|LOC109639459,196,237,399,302,240,212,209,254
gene-LOC109645140|LOC109645140,17,20,58,51,35,0,26,53
gene-stx5|stx5,815,783,1813,1570,1295,841,1170,2191
gene-LOC109645314|LOC109645314,0,0,0,0,0,0,0,0
gene-hnrnpab|hnrnpab,505,419,1066,1502,669,450,564,1158
gene-phykpl|phykpl,151,160,184,107,120,172,172,146
gene-LOC109642574|LOC109642574,108,35,77,80,110,82,60,62
gene-rack1|rack1,55940,46143,52127,59640,50536,46374,55265,63238
gene-LOC109641479|LOC109641479,361,277,468,255,477,334,408,575
gene-kdm3b|kdm3b,1203,1019,1582,777,1181,1104,1342,1211
gene-LOC109645985|LOC109645985,0,0,0,0,0,0,0,0
gene-LOC109644168|LOC109644168,17,35,17,21,26,9,10,0
gene-LOC109643759|LOC109643759,724,450,703,326,489,613,641,1004
gene-egr1|egr1,467,115,1378,3512,231,134,991,3294
gene-LOC109640547|LOC109640547,26,49,254,17,161,76,173,222
gene-LOC109645045|LOC109645045,26,57,78,28,61,53,43,76
gene-LOC109640762|LOC109640762,96,121,94,51,114,88,95,120
gene-LOC109642215|LOC109642215,4,0,0,0,0,0,0,5
gene-LOC109639770|LOC109639770,926,628,576,325,796,902,851,873
gene-kif3a|kif3a,93,98,148,88,131,123,141,240
gene-LOC109639697|LOC109639697,48,26,20,14,44,33,37,14
gene-LOC109642301|LOC109642301,0,7,9,0,7,5,8,7
gene-c1qtnf2|c1qtnf2,0,0,0,0,0,9,3,0
gene-atp7a|atp7a,651,568,715,329,742,617,894,886
gene-atp10b|atp10b,0,0,0,0,0,0,0,0
gene-LOC109642040|LOC109642040,0,0,0,0,0,0,7,0
gene-sept8|sept8,15,15,12,11,25,16,6,10
gene-gdf9|gdf9,15,11,23,14,12,28,10,25
gene-LOC109644325|LOC109644325,480,397,1226,504,631,535,932,665
gene-slu7|slu7,287,266,396,200,366,317,257,403
gene-LOC109637109|LOC109637109,187,117,61,32,123,105,119,94
gene-LOC109646177|LOC109646177,1205,883,1021,933,849,718,792,989
gene-LOC109643848|LOC109643848,34,30,0,28,37,34,31,21
gene-sfxn1|sfxn1,303,214,234,91,370,270,430,317
gene-LOC109642125|LOC109642125,3,0,0,0,0,0,0,7
gene-nudcd2|nudcd2,151,73,182,1046,161,90,153,560
gene-ccng1|ccng1,46837,37090,43799,42419,44315,48237,53508,75119
gene-sowaha|sowaha,2,0,3,5,2,4,3,2
gene-LOC109646082|LOC109646082,891,581,1268,860,858,712,963,1370
gene-hspa4|hspa4,959,737,1842,3102,1553,857,861,2129
gene-LOC109645223|LOC109645223,1988,1820,2914,1578,2087,1987,2429,3178
gene-kiaa2022|kiaa2022,12,12,9,2,5,15,4,0
gene-zdhhc15|zdhhc15,40,27,40,11,46,55,53,61
gene-uprt|uprt,874,688,1031,1030,761,704,918,1719
gene-abcb7|abcb7,863,827,1235,738,907,522,872,1652
gene-LOC109624703|LOC109624703,70,115,46,189,101,32,29,37
gene-LOC109624309|LOC109624309,1104,1176,1434,1899,1177,666,770,1322
gene-LOC109624777|LOC109624777,2,0,27,0,7,0,0,0
gene-LOC109624817|LOC109624817,12,11,64,24,21,17,14,22
gene-prps1|prps1,354,362,945,700,509,408,551,1312
gene-slc25a53|slc25a53,26,23,118,31,40,22,55,218
gene-LOC109624363|LOC109624363,10,7,17,15,0,7,21,0
gene-LOC109627737|LOC109627737,263,199,276,111,307,165,240,274
gene-znf711|znf711,188,143,261,178,206,239,303,459
gene-LOC109627873|LOC109627873,475,589,757,204,468,431,648,638
gene-LOC109626006|LOC109626006,559,463,708,342,726,469,686,942
gene-LOC109625994|LOC109625994,29,17,52,26,16,18,28,15
gene-LOC109633733|LOC109633733,7,6,0,0,0,0,0,0
gene-LOC109630951|LOC109630951,0,0,0,0,0,0,0,0
gene-nsdhl|nsdhl,181,141,256,288,88,92,101,155
gene-ogt|ogt,1775,2458,1864,1247,1407,1281,1473,1401
gene-znf185|znf185,234,190,142,76,153,173,88,30
gene-fut11|fut11,76,86,134,66,110,96,103,181
gene-LOC109625300|LOC109625300,10,13,6,5,0,0,0,0
gene-LOC109625290|LOC109625290,0,0,0,0,0,0,0,0
gene-LOC109625324|LOC109625324,58,119,313,194,103,87,111,159
gene-LOC109625319|LOC109625319,2698,2159,1621,704,1956,2263,2075,1596
gene-neurl1b|neurl1b,259,183,246,85,329,243,198,232
gene-ergic1|ergic1,301,283,838,449,640,579,960,2388
gene-gria3|gria3,19,18,13,23,26,8,10,0
gene-eda|eda,41,35,34,38,27,56,61,22
gene-LOC109624678|LOC109624678,13,20,56,0,60,19,37,30
gene-LOC109628184|LOC109628184,39,18,24,8,34,37,29,14
gene-LOC109628178|LOC109628178,0,0,0,0,0,0,7,0
gene-LOC109628198|LOC109628198,0,0,5,9,0,5,0,0
gene-LOC109626734|LOC109626734,0,0,0,0,0,0,0,0
gene-vma21|vma21,675,663,922,512,791,554,726,588
gene-flt4|flt4,318,180,175,86,247,348,173,165
gene-LOC109625061|LOC109625061,3,0,5,0,0,0,0,3
gene-LOC109625762|LOC109625762,853,535,698,413,594,553,586,750
gene-LOC109625077|LOC109625077,143,80,41,68,118,146,97,95
gene-prelid1|prelid1,2501,1669,2358,2172,1778,1500,1771,3078
gene-fam193b|fam193b,202,202,183,117,205,196,226,244
gene-LOC109624501|LOC109624501,3,3,0,3,5,0,0,5
gene-ddx41|ddx41,457,305,480,226,524,346,457,567
gene-pdlim7|pdlim7,103,94,84,45,109,112,107,108
gene-cltb|cltb,408,364,717,324,552,394,585,811
gene-higd2a|higd2a,481,274,503,242,471,230,284,417
gene-LOC109625099|LOC109625099,2012,1621,2026,1579,2144,1833,1816,1900
gene-sncb|sncb,33,28,26,15,15,12,18,13
gene-gprin1|gprin1,24,20,142,49,147,36,78,22
gene-cdhr2|cdhr2,168,255,1767,277,1799,335,811,317
gene-rnf44|rnf44,200,208,216,80,149,229,298,474
gene-faf2|faf2,735,634,1036,589,953,616,675,1022
gene-pin4|pin4,340,270,331,278,312,321,361,463
gene-LOC109626761|LOC109626761,228,204,325,170,250,154,135,209
gene-stc2|stc2,0,0,0,0,3,0,0,0
gene-bnip1|bnip1,16,9,67,12,54,26,15,157
gene-LOC109624149|LOC109624149,268,263,650,258,320,230,465,334
gene-hnrnph1|hnrnph1,246,232,454,288,329,241,342,637
gene-prob1|prob1,0,5,0,5,6,0,0,8
gene-trnaa-cgc|trnaa-cgc,0,0,1,0,0,0,0,0
