gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392
gene-LOC109633196|LOC109633196,15,21,24,14,19
gene-trnal-caa|trnal-caa,0,0,0,0,0
gene-smyd5|smyd5,279,358,499,278,369
gene-LOC109624610|LOC109624610,8,0,0,0,0
gene-LOC109624300|LOC109624300,102,94,82,31,111
gene-LOC109624903|LOC109624903,8,0,0,0,0
gene-enox2|enox2,62,108,102,63,112
gene-abcc5|abcc5,2853,4607,2252,1380,1416
gene-med12|med12,1107,888,968,409,1231
gene-mars2|mars2,86,72,73,18,99
gene-LOC109628053|LOC109628053,35,41,82,46,61
gene-timm8a|timm8a,592,406,509,309,473
gene-btk|btk,136,89,127,103,162
gene-LOC109627058|LOC109627058,47697,33493,45079,50867,41033
gene-gla|gla,270,225,271,229,216
gene-pcdh19|pcdh19,33,70,62,25,74
gene-LOC109628011|LOC109628011,285,283,460,231,407
gene-diaph2|diaph2,533,588,788,808,561
gene-sept6|sept6,811,707,1088,491,981
gene-ube2a|ube2a,692,779,1209,976,604
gene-nkrf|nkrf,1121,1205,986,638,930
gene-LOC109626412|LOC109626412,9,18,30,12,21
gene-sowahd|sowahd,163,135,154,90,209
gene-rpl39|rpl39,13788,11475,15039,15486,10447
gene-upf3b|upf3b,562,553,731,253,592
gene-ndufa1|ndufa1,2424,2029,2719,2288,2301
gene-atp1b4|atp1b4,0,0,9,0,6
gene-nkap|nkap,601,403,495,298,597
gene-cul4b|cul4b,285,223,378,223,278
gene-lamp2|lamp2,3384,3282,4451,2221,3978
gene-LOC109624389|LOC109624389,0,3,8,0,0
gene-mcts1|mcts1,718,548,744,572,861
gene-c1galt1c1|c1galt1c1,589,618,1161,682,1014
gene-LOC109634004|LOC109634004,212,139,233,229,177
gene-LOC109634076|LOC109634076,0,0,0,0,0
gene-ocrl|ocrl,191,211,200,82,321
gene-sash3|sash3,13,7,15,0,18
gene-xpnpep2|xpnpep2,126,115,104,59,79
gene-apln|apln,1875,1485,1225,595,875
gene-zdhhc9|zdhhc9,121,96,166,148,119
gene-trmt12|trmt12,46,47,50,27,18
gene-sytl4|sytl4,133,112,246,79,205
gene-srpx2|srpx2,30,38,28,27,23
gene-tspan6|tspan6,3011,3210,2972,2731,3140
gene-LOC109628440|LOC109628440,607,565,1136,1307,676
gene-arl13a|arl13a,4,5,0,0,0
gene-tmem35a|tmem35a,90,81,143,188,111
gene-cenpi|cenpi,0,10,24,0,24
gene-bcorl1|bcorl1,204,152,219,739,148
gene-trnav-uac|trnav-uac,0,0,0,0,0
gene-cstf2|cstf2,364,348,335,196,443
gene-nox1|nox1,12,14,20,0,15
gene-xkrx|xkrx,267,264,262,195,175
gene-taf7l|taf7l,546,419,301,142,474
gene-slc9a6|slc9a6,220,185,431,128,217
gene-LOC109625847|LOC109625847,438,425,472,220,518
gene-LOC109625905|LOC109625905,89,155,193,176,141
gene-LOC109625043|LOC109625043,1478,1811,2841,1848,2623
gene-arhgef6|arhgef6,751,691,899,440,725
gene-rbmx|rbmx,388,598,973,626,477
gene-fgf13|fgf13,0,0,0,0,0
gene-atp11c|atp11c,325,358,352,195,389
gene-LOC109634376|LOC109634376,19,13,35,68,9
gene-LOC109627999|LOC109627999,50,51,48,93,34
gene-pdzd11|pdzd11,148,174,159,93,132
gene-LOC109627100|LOC109627100,0,0,3,0,0
gene-LOC109625236|LOC109625236,42,47,102,70,59
gene-arr3|arr3,0,0,13,0,0
gene-rab41|rab41,1137,1254,1512,1131,1558
gene-LOC109627091|LOC109627091,4,0,2,3,0
gene-p2ry4|p2ry4,1063,980,691,387,775
gene-LOC109625283|LOC109625283,4,6,9,0,0
gene-LOC109628039|LOC109628039,103,83,137,67,112
gene-dlg3|dlg3,3360,2720,3068,2324,3009
gene-LOC109624935|LOC109624935,1418,1101,1637,442,1280
gene-tex11|tex11,11,0,0,0,0
gene-LOC109626925|LOC109626925,1580,1778,1606,1432,1339
gene-LOC109626361|LOC109626361,0,9,20,7,27
gene-LOC109626955|LOC109626955,8,17,31,15,0
gene-slc25a43|slc25a43,132,246,230,120,184
gene-LOC109627855|LOC109627855,0,0,0,0,0
gene-mrpl11|mrpl11,20,17,79,29,65
gene-fosl1|fosl1,33,71,127,496,46
gene-yif1a|yif1a,602,537,1195,541,930
gene-LOC109627700|LOC109627700,53,53,53,30,32
gene-LOC109627799|LOC109627799,1327,1299,1937,967,1381
gene-LOC109626519|LOC109626519,2236,1797,4245,2248,2718
gene-LOC109626511|LOC109626511,296,369,403,454,554
gene-LOC109628604|LOC109628604,720,583,868,356,676
gene-LOC109628045|LOC109628045,489,323,367,504,239
gene-LOC109628952|LOC109628952,195,100,128,70,211
gene-alg13|alg13,264,165,270,210,278
gene-LOC109625519|LOC109625519,317,242,425,252,332
gene-LOC109625485|LOC109625485,1912,2212,1285,668,1482
gene-LOC109625926|LOC109625926,40,68,139,68,63
gene-rasgef1c|rasgef1c,19,43,29,74,16
gene-LOC109625913|LOC109625913,1994,1713,1759,1077,1510
gene-col23a1|col23a1,5,0,0,2,9
gene-gfpt2|gfpt2,91,74,95,100,79
gene-LOC109628677|LOC109628677,30,22,58,31,40
gene-LOC109626559|LOC109626559,19,8,23,14,21
gene-LOC109626552|LOC109626552,243,326,460,329,376
gene-LOC109624870|LOC109624870,19,14,165,23,25
gene-LOC109634664|LOC109634664,15,15,12,10,29
gene-LOC109628268|LOC109628268,6819,4940,5334,3659,4174
gene-LOC109632596|LOC109632596,3,5,8,0,7
gene-LOC109624799|LOC109624799,0,0,0,0,0
gene-LOC109624564|LOC109624564,0,0,0,0,0
gene-LOC109626425|LOC109626425,534,428,624,804,465
gene-simc1|simc1,122,87,112,58,148
gene-LOC109627412|LOC109627412,41,60,64,9,88
gene-LOC109624180|LOC109624180,32,25,15,10,19
gene-LOC109625731|LOC109625731,17,0,14,20,18
gene-rbm22|rbm22,460,328,579,340,522
gene-ndst1|ndst1,1551,1916,1734,1047,1420
gene-LOC109626327|LOC109626327,4,0,20,48,0
gene-slc35a4|slc35a4,71,79,142,61,106
gene-cd74|cd74,4046,5554,5079,4392,5702
gene-hmgxb3|hmgxb3,178,170,246,143,168
gene-csf1r|csf1r,123,257,397,50,316
gene-pdgfrb|pdgfrb,419,539,395,433,672
gene-arsi|arsi,3,0,3,0,0
gene-LOC109631751|LOC109631751,50,103,145,23,137
gene-cdx1|cdx1,8,0,8,0,0
gene-LOC109628826|LOC109628826,208,182,386,200,341
gene-tmco6|tmco6,337,303,282,234,315
gene-LOC109624254|LOC109624254,740,681,1559,686,1128
gene-LOC109628360|LOC109628360,256366,174120,177288,167358,179022
gene-rnf20|rnf20,330,267,469,341,307
gene-LOC109626245|LOC109626245,2048,1879,2003,1766,2120
gene-LOC109627973|LOC109627973,253,231,289,542,295
gene-LOC109631217|LOC109631217,10,10,0,11,0
gene-prpf19|prpf19,440,270,695,265,830
gene-LOC109625151|LOC109625151,236,233,1884,269,855
gene-mrpl18|mrpl18,281,194,501,329,361
gene-LOC109625166|LOC109625166,684,650,1129,410,799
gene-LOC109625181|LOC109625181,44,41,57,5,45
gene-tomm5|tomm5,516,359,516,333,419
gene-LOC109628312|LOC109628312,24,12,12,0,20
gene-ints10|ints10,219,205,310,136,267
gene-slc25a51|slc25a51,343,229,357,129,330
gene-LOC109626133|LOC109626133,5,22,17,8,36
gene-LOC109627862|LOC109627862,871,691,803,517,736
gene-LOC109634755|LOC109634755,33,23,15,28,10
gene-LOC109624585|LOC109624585,10,8,0,4,0
gene-kiaa0141|kiaa0141,474,391,962,603,600
gene-spock1|spock1,83,39,68,41,67
gene-LOC109628505|LOC109628505,0,0,0,7,0
gene-etf1|etf1,4255,3067,3621,2976,4325
gene-fbxw11|fbxw11,901,675,848,442,802
gene-LOC109635120|LOC109635120,0,0,2,0,0
gene-LOC109635189|LOC109635189,8,14,16,5,9
gene-LOC109635254|LOC109635254,0,4,0,0,10
gene-LOC109623776|LOC109623776,5,11,18,14,8
gene-LOC109647956|LOC109647956,73,135,193,97,108
gene-LOC109623562|LOC109623562,3,4,3,0,5
gene-LOC109633112|LOC109633112,0,3,1,5,3
gene-LOC109635414|LOC109635414,4,0,4,3,5
gene-LOC109623670|LOC109623670,3,5,5,2,4
gene-LOC109633021|LOC109633021,2,8,5,3,10
gene-LOC109635553|LOC109635553,0,0,0,0,0
gene-LOC109635860|LOC109635860,6,5,6,6,8
gene-LOC109635945|LOC109635945,0,0,0,3,7
gene-LOC109636046|LOC109636046,2,0,0,0,0
gene-LOC109636115|LOC109636115,0,0,0,0,0
gene-LOC109648067|LOC109648067,535,773,838,502,826
gene-diaph1|diaph1,914,964,1220,686,1062
gene-LOC109627481|LOC109627481,0,1,0,0,0
gene-dock2|dock2,90,106,208,47,207
gene-LOC109628671|LOC109628671,17,9,17,35,9
gene-LOC109627436|LOC109627436,14,10,14,0,0
gene-LOC109628409|LOC109628409,105,76,82,53,95
gene-wfs1|wfs1,75,65,165,106,76
gene-LOC109636523|LOC109636523,11,15,31,13,17
gene-btbd18|btbd18,0,0,0,0,0
gene-smtnl1|smtnl1,14,14,18,5,19
gene-ctnnd1|ctnnd1,1003,974,1146,1141,965
gene-slc43a3|slc43a3,317,324,371,300,371
gene-selenoh|selenoh,75,57,66,121,77
gene-clp1|clp1,184,118,123,79,157
gene-zdhhc5|zdhhc5,566,475,710,437,653
gene-tmx2|tmx2,85,118,136,136,164
gene-med19|med19,491,392,559,451,423
gene-slc43a1|slc43a1,135,141,108,100,229
gene-LOC109624317|LOC109624317,0,11,15,0,15
gene-ssrp1|ssrp1,543,405,752,288,728
gene-LOC109628794|LOC109628794,12,28,42,23,20
gene-rad9a|rad9a,235,184,122,111,224
gene-LOC109632527|LOC109632527,18,17,19,18,19
gene-LOC109624760|LOC109624760,0,0,0,0,0
gene-ran|ran,4283,2951,4456,4280,4206
gene-LOC109628609|LOC109628609,156,125,115,222,139
gene-kdm2a|kdm2a,491,436,536,311,460
gene-ankrd13d|ankrd13d,518,464,396,224,468
gene-LOC109626904|LOC109626904,45,5,31,11,24
gene-LOC109626892|LOC109626892,331,266,180,123,197
gene-ahnak|ahnak,249,313,366,143,515
gene-LOC109628761|LOC109628761,81,89,222,62,79
gene-LOC109632228|LOC109632228,0,0,0,0,0
gene-LOC109627075|LOC109627075,0,0,0,0,0
gene-eef1g|eef1g,48113,40101,43348,42411,45875
gene-LOC109626391|LOC109626391,666,580,374,481,495
gene-polr2g|polr2g,161,77,168,40,249
gene-LOC109628633|LOC109628633,4380,5959,4169,4545,2828
gene-mid2|mid2,38,29,66,35,90
gene-trnak-uuu|trnak-uuu,0,0,0,0,0
gene-LOC109629002|LOC109629002,211,194,164,144,176
gene-LOC109630475|LOC109630475,15679,12246,11843,9149,13362
gene-LOC109624576|LOC109624576,3,2,8,5,3
gene-LOC109624602|LOC109624602,131,109,271,67,155
gene-pola2|pola2,76,48,47,39,85
gene-LOC109625696|LOC109625696,995,1180,1756,339,1551
gene-LOC109624979|LOC109624979,1817,2109,3020,1045,2207
gene-zdhhc24|zdhhc24,48,14,43,12,31
gene-dpf2|dpf2,143,119,183,81,167
gene-LOC109627160|LOC109627160,158,122,214,102,195
gene-LOC109627217|LOC109627217,639,569,589,393,892
gene-LOC109624011|LOC109624011,10,4,12,0,7
gene-LOC109627229|LOC109627229,518,448,1953,475,1231
gene-ubxn1|ubxn1,2122,1669,1675,1561,1926
gene-LOC109628036|LOC109628036,186,106,198,73,183
gene-ganab|ganab,1072,1552,2760,1753,2251
gene-LOC109630728|LOC109630728,832,689,1074,686,738
gene-scyl1|scyl1,398,402,659,231,565
gene-LOC109631304|LOC109631304,59,63,127,31,136
gene-trnaw-cca-5|trnaw-cca,0,0,0,0,0
gene-trnaw-cca-6|trnaw-cca,0,0,0,0,0
gene-fermt3|fermt3,73,77,322,32,198
gene-macrod1|macrod1,973,911,1077,798,859
gene-LOC109628649|LOC109628649,8,3,92,0,0
gene-LOC109636960|LOC109636960,0,7,0,0,9
gene-trpt1|trpt1,104,56,245,56,199
gene-zbtb3|zbtb3,147,135,173,97,161
gene-rnaseh2c|rnaseh2c,112,63,71,63,154
gene-LOC109642822|LOC109642822,134,79,52,38,44
gene-nxf1|nxf1,272,248,584,333,376
gene-trmt112|trmt112,186,169,245,161,251
gene-LOC109642431|LOC109642431,2,0,0,0,3
gene-atg2a|atg2a,2448,2535,2324,946,1823
gene-LOC109639459|LOC109639459,236,276,470,366,293
gene-LOC109645140|LOC109645140,24,30,68,66,42
gene-stx5|stx5,895,840,1936,1680,1419
gene-vegfb|vegfb,711,821,907,1081,587
gene-dnajc4|dnajc4,315,322,299,177,248
gene-nudt22|nudt22,118,90,104,21,170
gene-LOC109640354|LOC109640354,9,11,17,7,17
gene-LOC109644725|LOC109644725,145,80,162,439,96
gene-LOC109640932|LOC109640932,85,118,153,136,105
gene-LOC109645314|LOC109645314,3,0,0,0,0
gene-LOC109642574|LOC109642574,123,44,91,88,130
gene-hnrnpab|hnrnpab,536,466,1135,1633,715
gene-phykpl|phykpl,178,180,206,117,138
gene-rack1|rack1,60794,50015,56436,64226,54355
gene-LOC109641479|LOC109641479,407,313,515,301,541
gene-kdm3b|kdm3b,1381,1174,1767,912,1328
gene-LOC109645985|LOC109645985,2,2,2,2,4
gene-LOC109644168|LOC109644168,24,48,22,25,38
gene-LOC109643759|LOC109643759,992,621,897,421,637
gene-egr1|egr1,516,125,1500,3770,253
gene-LOC109640547|LOC109640547,28,55,268,18,171
gene-LOC109645045|LOC109645045,40,74,111,31,89
gene-LOC109640762|LOC109640762,102,129,103,55,129
gene-LOC109642301|LOC109642301,0,8,8,0,7
gene-slu7|slu7,329,320,448,242,429
gene-LOC109637109|LOC109637109,202,138,63,36,128
gene-LOC109646177|LOC109646177,1149,808,954,866,789
gene-LOC109643848|LOC109643848,17,15,5,16,15
gene-LOC109642125|LOC109642125,5,0,6,0,7
gene-atp7a|atp7a,816,711,896,415,927
gene-sfxn1|sfxn1,327,223,251,97,386
gene-LOC109642040|LOC109642040,0,0,0,0,0
gene-sept8|sept8,16,16,17,11,31
gene-sowaha|sowaha,2,0,3,7,3
gene-gdf9|gdf9,14,13,26,24,16
gene-nudcd2|nudcd2,182,86,226,1231,188
gene-ccng1|ccng1,51622,40076,47740,46306,48755
gene-LOC109646082|LOC109646082,914,602,1310,883,883
gene-hspa4|hspa4,1078,817,2057,3450,1748
gene-LOC109644325|LOC109644325,560,438,1382,591,687
gene-LOC109645223|LOC109645223,2470,2242,3536,1944,2599
gene-LOC109642215|LOC109642215,5,0,0,0,0
gene-LOC109639770|LOC109639770,1105,728,673,383,937
gene-LOC109639697|LOC109639697,55,34,22,17,53
gene-kif3a|kif3a,103,106,167,95,149
gene-kiaa2022|kiaa2022,13,12,10,0,5
gene-zdhhc15|zdhhc15,45,31,45,14,58
gene-uprt|uprt,916,733,1098,1126,822
gene-abcb7|abcb7,1013,986,1411,886,1113
gene-LOC109624703|LOC109624703,75,122,55,203,112
gene-LOC109624777|LOC109624777,2,0,34,0,8
gene-LOC109624309|LOC109624309,1193,1274,1558,2018,1275
gene-LOC109624817|LOC109624817,12,16,83,29,25
gene-prps1|prps1,370,383,1003,743,537
gene-slc25a53|slc25a53,29,24,141,37,48
gene-LOC109624363|LOC109624363,17,7,22,18,0
gene-LOC109627737|LOC109627737,304,227,318,128,350
gene-znf711|znf711,198,146,279,188,209
gene-LOC109627873|LOC109627873,531,679,862,221,521
gene-LOC109626006|LOC109626006,614,483,770,365,800
gene-LOC109625994|LOC109625994,28,20,62,26,19
gene-LOC109633733|LOC109633733,10,8,5,0,0
gene-LOC109630951|LOC109630951,0,0,0,0,0
gene-ogt|ogt,1965,2697,2047,1380,1584
gene-nsdhl|nsdhl,197,146,296,311,94
gene-znf185|znf185,260,228,170,84,173
gene-fut11|fut11,88,102,164,75,137
gene-LOC109625300|LOC109625300,10,13,5,4,0
gene-LOC109625319|LOC109625319,3512,2782,2053,905,2631
gene-LOC109625290|LOC109625290,0,0,0,0,0
gene-LOC109625324|LOC109625324,64,124,327,219,113
gene-eda|eda,50,36,43,39,28
gene-gria3|gria3,18,19,16,24,26
gene-LOC109624678|LOC109624678,17,23,67,0,69
gene-LOC109628184|LOC109628184,39,22,28,8,37
gene-LOC109628198|LOC109628198,8,0,8,14,0
gene-vma21|vma21,889,835,1137,659,987
gene-neurl1b|neurl1b,290,209,265,97,365
gene-ergic1|ergic1,371,325,993,546,756
gene-flt4|flt4,369,220,191,102,288
gene-LOC109625061|LOC109625061,3,0,5,0,0
gene-LOC109625762|LOC109625762,1013,652,838,527,717
gene-LOC109625077|LOC109625077,150,89,45,74,125
gene-prelid1|prelid1,2644,1789,2491,2320,1944
gene-fam193b|fam193b,210,208,201,120,223
gene-ddx41|ddx41,491,322,507,239,557
gene-LOC109624501|LOC109624501,3,3,0,3,5
gene-pdlim7|pdlim7,115,113,101,53,134
gene-cltb|cltb,465,434,833,378,682
gene-higd2a|higd2a,521,301,536,259,538
gene-LOC109625099|LOC109625099,2297,1875,2320,1775,2451
gene-hnrnph1|hnrnph1,260,236,488,309,351
gene-LOC109625685|LOC109625685,459,415,698,263,488
gene-LOC109625710|LOC109625710,388,102,280,334,716
gene-LOC109628084|LOC109628084,5,0,5,5,0
gene-rmnd5b|rmnd5b,537,456,835,447,615
gene-LOC109647601|LOC109647601,248,289,258,147,198
gene-trnaa-cgc|trnaa-cgc,0,0,1,0,1
gene-trnaa-ugc|trnaa-ugc,0,0,0,0,0
gene-anxa6|anxa6,785,915,1339,628,982
gene-tnip1|tnip1,2660,2552,14347,3470,14733
gene-gpx3|gpx3,2831,3112,6254,3054,5576
gene-dctn4|dctn4,672,560,613,364,670
gene-synpo|synpo,187,230,179,173,289
gene-LOC109626270|LOC109626270,403,373,329,123,343
gene-lrrtm2|lrrtm2,0,2,0,0,0
gene-LOC109637355|LOC109637355,1391,1362,1428,837,1656
gene-sncb|sncb,34,31,27,16,16
gene-LOC109630394|LOC109630394,0,0,0,0,0
gene-gprin1|gprin1,36,37,266,82,254
gene-cdhr2|cdhr2,220,309,2070,336,2096
gene-rnf44|rnf44,217,233,232,87,156
gene-faf2|faf2,870,735,1207,711,1132
gene-pin4|pin4,435,359,436,337,396
gene-LOC109626761|LOC109626761,285,234,379,185,289
gene-bnip1|bnip1,20,12,85,19,68
gene-LOC109624149|LOC109624149,313,315,764,307,361
gene-adam19|adam19,0,0,20,8,62
gene-LOC109639853|LOC109639853,36244,27372,32852,38207,30404
gene-thg1l|thg1l,79,53,121,42,78
gene-lsm11|lsm11,57,81,91,46,99
gene-clint1|clint1,1849,1692,3533,1479,2718
gene-ebf1|ebf1,0,0,0,0,0
gene-LOC109626189|LOC109626189,56,61,55,86,59
gene-LOC109637560|LOC109637560,236,226,234,105,228
gene-afap1l1|afap1l1,144,129,91,91,61
gene-LOC109627611|LOC109627611,0,6,0,0,0
gene-syce3|syce3,10,0,12,5,0
gene-LOC109627129|LOC109627129,0,0,0,0,0
gene-LOC109646579|LOC109646579,194,145,280,82,170
gene-med7|med7,107,125,153,73,129
gene-itk|itk,33,8,159,81,73
gene-cyfip2|cyfip2,31,15,59,24,22
gene-hmmr|hmmr,0,12,51,0,21
gene-LOC109637645|LOC109637645,107,77,135,116,121
gene-cystm1|cystm1,560,592,1484,1849,647
gene-eif4ebp3|eif4ebp3,3381,2871,2036,902,1638
gene-psmd10|psmd10,76,94,125,66,93
gene-LOC109646479|LOC109646479,237,177,1073,848,453
gene-LOC109647530|LOC109647530,221,100,169,111,220
gene-xiap|xiap,1101,881,1198,1806,740
gene-LOC109646244|LOC109646244,474,413,415,189,376
gene-LOC109646647|LOC109646647,374,310,106,113,269
gene-zc4h2|zc4h2,378,307,333,130,307
gene-LOC109647160|LOC109647160,46,82,115,39,68
gene-LOC109637701|LOC109637701,88,70,36,38,82
gene-LOC109632740|LOC109632740,1010,1023,797,655,1149
gene-apool|apool,694,564,658,471,624
gene-LOC109637860|LOC109637860,0,0,15,0,0
gene-hdx|hdx,126,132,212,194,102
gene-rps6ka6|rps6ka6,149,144,320,278,192
gene-LOC109624790|LOC109624790,12,17,62,0,59
gene-sh3bgrl|sh3bgrl,669,532,622,328,611
gene-LOC109624207|LOC109624207,51,53,22,44,39
gene-tbx22|tbx22,0,0,0,0,0
gene-hmgn5|hmgn5,2446,1880,1991,1523,1818
gene-LOC109631630|LOC109631630,8,10,13,0,0
gene-itm2a|itm2a,1268,1232,1097,964,825
gene-LOC109631482|LOC109631482,12,17,29,10,73
gene-lpar4|lpar4,22,29,66,8,33
gene-LOC109627845|LOC109627845,447,442,415,260,520
gene-LOC109625838|LOC109625838,607,495,703,462,606
gene-vamp7|vamp7,708,618,804,339,676
gene-pdgfrl|pdgfrl,99,105,64,93,139
gene-mtus1|mtus1,2109,1833,1863,1496,1623
gene-slc7a2|slc7a2,1242,1611,1018,700,1238
gene-mtmr7|mtmr7,266,263,119,92,122
gene-zdhhc2|zdhhc2,178,176,199,217,222
gene-LOC109628387|LOC109628387,36,59,141,193,54
gene-LOC109637936|LOC109637936,0,0,9,0,0
gene-LOC109624460|LOC109624460,5,8,0,0,0
gene-pfdn6|pfdn6,301,277,360,199,311
gene-mmgt1|mmgt1,641,598,876,434,782
gene-LOC109645601|LOC109645601,106,94,121,279,102
gene-mospd1|mospd1,412,271,264,139,286
gene-fam122b|fam122b,257,268,359,349,237
gene-hprt1|hprt1,2613,2444,5344,5815,3987
gene-phf6|phf6,181,125,158,127,145
gene-LOC109626501|LOC109626501,1062,991,1171,683,1186
gene-gpc3|gpc3,0,6,5,7,8
gene-LOC109626013|LOC109626013,5659,7186,6154,5084,5453
gene-LOC109626278|LOC109626278,421,380,347,216,410
gene-LOC109626295|LOC109626295,26,15,2697,8380,36
gene-tmem173|tmem173,8,16,69,16,10
gene-LOC109626302|LOC109626302,15,0,17,19,0
gene-LOC109624436|LOC109624436,0,7,0,0,0
gene-ube2d2|ube2d2,1194,937,1248,555,1194
gene-cisd1|cisd1,907,800,985,600,960
gene-LOC109628785|LOC109628785,1184,750,464,254,769
gene-LOC109631038|LOC109631038,234,86,729,162,210
gene-LOC109627576|LOC109627576,327,274,994,186,416
gene-LOC109627171|LOC109627171,143,114,155,47,130
gene-LOC109627165|LOC109627165,0,0,0,0,5
gene-LOC109627895|LOC109627895,0,0,3,0,0
gene-eif1ad|eif1ad,114,117,129,51,180
gene-aup1|aup1,212,287,696,325,385
gene-fnta|fnta,173,150,246,95,277
gene-LOC109624070|LOC109624070,60,38,33,14,56
gene-LOC109638001|LOC109638001,21,8,17,17,17
gene-pigg|pigg,100,107,116,75,168
gene-LOC109624108|LOC109624108,7,0,0,0,0
gene-cfap100|cfap100,0,0,0,0,0
gene-LOC109626843|LOC109626843,102143,93212,72932,75800,87284
gene-ap1ar|ap1ar,266,219,464,228,334
gene-LOC109626568|LOC109626568,919,746,1233,910,1048
gene-LOC109625367|LOC109625367,77,85,166,77,144
gene-syvn1|syvn1,572,658,1694,1005,1060
gene-LOC109625396|LOC109625396,212,116,244,176,137
gene-smim19|smim19,195,123,182,79,244
gene-fam199x|fam199x,618,472,626,295,615
gene-LOC109626613|LOC109626613,116,84,199,69,121
gene-LOC109628090|LOC109628090,567,181,190,211,473
gene-dcps|dcps,154,97,185,65,179
gene-LOC109627179|LOC109627179,2615,2257,2419,1113,2265
gene-ids|ids,462,598,989,560,712
gene-aff2|aff2,15,38,10,11,21
gene-fmr1|fmr1,784,809,805,274,938
gene-hdac3|hdac3,264,173,229,65,325
gene-LOC109629010|LOC109629010,135,85,73,52,78
gene-LOC109638234|LOC109638234,449,510,754,293,653
gene-LOC109626919|LOC109626919,28,52,63,28,48
gene-cspp1|cspp1,72,85,108,78,71
gene-il1rapl2|il1rapl2,5,0,0,0,0
gene-LOC109624228|LOC109624228,0,5,0,0,0
gene-snx25|snx25,289,282,289,206,341
gene-LOC109624236|LOC109624236,67,23,19,24,30
gene-LOC109627345|LOC109627345,125,125,257,256,164
gene-LOC109627583|LOC109627583,8,0,12,33,8
gene-ptcd3|ptcd3,141,100,169,69,173
gene-polr1a|polr1a,684,777,1137,510,1020
gene-st3gal5|st3gal5,479,477,914,282,555
gene-LOC109631395|LOC109631395,396,324,525,933,315
gene-irf2|irf2,162,196,225,74,226
gene-LOC109624382|LOC109624382,169,135,218,87,178
gene-LOC109625056|LOC109625056,3,4,6,0,9
gene-LOC109638474|LOC109638474,14,0,0,0,0
gene-LOC109638636|LOC109638636,0,0,0,0,0
gene-hspa9|hspa9,1531,1308,3445,4235,1854
