gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392
gene-LOC109623726,34,25,40,23,50
gene-LOC109623727,7,2,10,8,2
gene-LOC109623728,0,0,0,0,0
gene-LOC109623730,76,76,97,63,93
gene-LOC109623731,231,229,148,221,167
gene-LOC109623732,2,4,12,2,6
gene-LOC109623733,42,42,46,36,28
gene-LOC109623734,1,1,10,3,2
gene-LOC109623735,2,2,0,0,0
gene-LOC109623737,12,17,27,11,11
gene-LOC109623738,48,16,58,10,31
gene-LOC109623739,13,10,12,13,11
gene-LOC109623740,0,2,0,11,4
gene-LOC109623741,0,0,0,0,0
gene-LOC109623742,1,0,0,0,0
gene-LOC109623743,35,37,69,22,55
gene-LOC109623744,59,51,58,40,80
gene-LOC109623745,30,16,27,6,35
gene-LOC109623748,17,4,1,6,5
gene-LOC109623749,22,18,24,19,19
gene-LOC109623750,0,0,0,0,0
gene-LOC109623751,4,1,2,2,5
gene-LOC109623752,27,37,95,19,63
gene-LOC109623753,1,7,4,5,0
gene-LOC109623754,146,302,148,555,192
gene-LOC109623755,6,6,15,18,11
gene-LOC109623756,7,16,9,2,8
gene-LOC109623757,40,36,65,23,29
gene-LOC109623758,87,62,131,70,133
gene-LOC109623759,38,27,37,27,38
gene-LOC109623760,17,16,26,11,12
gene-LOC109623761,1,0,0,0,0
gene-LOC109623762,384,292,295,328,298
gene-LOC109623763,541,365,455,380,382
gene-LOC109623764,981,1269,903,958,568
gene-LOC109623765,2,1,4,4,7
gene-LOC109623766,12,31,22,12,18
gene-LOC109623767,3,7,0,5,2
gene-LOC109623768,108,122,78,80,94
gene-LOC109623769,2,2,5,3,1
gene-LOC109623770,81,70,67,56,108
gene-LOC109623771,0,0,0,0,0
gene-LOC109623772,124,102,62,53,106
gene-LOC109623773,0,0,0,0,0
gene-LOC109623774,388,276,283,204,289
gene-LOC109623775,6,7,17,7,6
gene-LOC109623776,1,1,7,2,2
gene-LOC109623778,408,411,549,283,398
gene-LOC109623779,4,13,11,8,15
gene-LOC109623780,87,77,100,56,78
gene-LOC109623781,11,3,8,5,9
gene-LOC109623782,1,0,0,0,0
gene-LOC109623783,119,71,129,42,100
gene-LOC109623784,25,12,23,16,25
gene-LOC109623785,9,3,9,4,9
gene-LOC109623786,1,10,22,2,2
gene-LOC109623787,268,172,222,54,187
gene-LOC109623788,34,33,55,49,52
gene-LOC109623789,0,0,0,0,0
gene-LOC109623790,24,24,24,9,21
gene-LOC109623791,6,6,2,5,6
gene-LOC109623792,0,0,0,0,0
gene-LOC109623793,20,20,31,6,15
gene-LOC109623794,29,31,31,26,23
gene-LOC109623795,9,4,4,0,8
gene-LOC109623796,2,3,2,0,5
gene-LOC109623797,0,0,0,0,0
gene-LOC109623798,4,7,4,1,2
gene-LOC109623800,2,0,3,0,1
gene-LOC109623801,0,0,0,0,0
gene-LOC109623802,45,34,776,302,203
gene-LOC109623803,1,4,7,2,8
gene-LOC109623804,0,0,0,0,0
gene-LOC109623805,4,1,4,1,4
gene-LOC109623806,16,8,14,9,16
gene-LOC109623807,0,1,0,0,2
gene-LOC109623808,0,0,0,0,0
gene-LOC109623809,0,0,0,0,0
gene-LOC109623810,2,3,2,0,2
gene-LOC109623812,0,2,0,0,0
gene-LOC109623813,43,30,44,18,37
gene-LOC109623814,2,0,1,4,1
gene-LOC109623815,0,0,0,2,0
gene-LOC109623816,58,36,55,13,26
gene-LOC109623817,48,35,84,27,53
gene-LOC109623818,17,19,21,14,17
gene-LOC109623819,26,32,13,23,25
gene-LOC109623820,0,0,0,2,0
gene-LOC109623821,10,5,8,6,6
gene-LOC109623822,5,1,3,1,1
gene-LOC109623823,11,13,12,16,13
gene-LOC109623824,459,429,521,311,420
gene-LOC109623825,171,115,216,146,239
gene-LOC109623827,0,0,0,0,0
gene-LOC109623828,13,27,18,11,26
gene-LOC109623829,19,18,28,11,44
gene-LOC109623830,0,0,0,0,0
gene-LOC109623832,0,0,0,0,0
gene-LOC109623835,0,2,0,4,2
gene-LOC109623836,5,6,19,6,8
gene-LOC109623837,26,12,32,29,15
gene-LOC109623838,37,38,43,22,21
gene-LOC109623839,8,8,27,14,11
gene-LOC109623840,0,0,0,3,0
gene-LOC109623841,0,0,0,0,0
gene-LOC109623842,61,42,45,39,39
gene-LOC109623843,0,0,9,5,1
gene-LOC109623844,0,0,0,0,0
gene-LOC109623845,30,22,36,7,28
gene-LOC109623846,5,1,0,0,0
gene-LOC109623847,415,357,580,369,359
gene-LOC109623848,0,0,0,0,0
gene-LOC109623849,12,10,19,3,17
gene-LOC109623850,0,0,0,0,0
gene-LOC109623851,2,3,3,0,10
gene-LOC109623852,98,105,138,218,87
gene-LOC109623853,8,17,21,7,14
gene-LOC109623854,0,0,0,0,0
gene-LOC109623855,8,4,3,4,4
gene-LOC109623856,22,16,42,5,23
gene-LOC109623857,11,0,0,0,0
gene-LOC109623858,117,98,99,110,86
gene-LOC109623859,131,103,157,64,121
gene-LOC109623860,3,1,0,1,0
gene-LOC109623861,679,661,724,698,472
gene-LOC109623862,206,178,215,264,171
gene-LOC109623863,0,1,0,1,0
gene-LOC109623864,47,30,45,24,50
gene-LOC109623865,0,0,0,0,0
gene-LOC109623866,198,190,250,112,165
gene-LOC109623867,7,2,4,4,2
gene-LOC109623868,32,32,35,27,27
gene-LOC109623869,13,5,6,0,3
gene-LOC109623870,5,3,1,8,5
gene-LOC109623871,109,105,145,97,102
gene-LOC109623872,17,15,50,27,20
gene-LOC109623873,9,17,12,4,26
gene-LOC109623874,12,15,21,11,5
gene-LOC109623875,42,30,33,27,33
gene-LOC109623876,54,48,73,20,40
gene-LOC109623877,0,0,0,0,0
gene-LOC109623878,56,73,98,72,67
gene-LOC109623879,0,0,0,0,0
gene-LOC109623881,43,33,183,67,98
gene-LOC109623882,91,100,168,123,121
gene-LOC109623883,3,2,2,0,6
gene-LOC109623884,0,2,2,2,1
gene-LOC109623885,0,0,0,0,0
gene-LOC109623887,9,8,7,3,8
gene-LOC109623888,100,103,99,87,69
gene-LOC109623889,0,6,6,0,5
gene-LOC109623890,6,10,7,4,4
gene-LOC109623891,0,0,0,0,0
gene-LOC109623892,3,15,16,9,10
gene-LOC109623893,2,2,0,0,4
gene-LOC109623894,23,16,11,12,12
gene-LOC109623895,68,73,61,63,85
gene-LOC109623897,0,0,0,0,0
gene-LOC109623898,3,2,0,0,5
gene-LOC109623899,0,0,1,0,0
gene-LOC109623900,0,0,0,0,0
gene-LOC109623901,3,5,7,3,8
gene-LOC109623902,62,50,22,16,34
gene-LOC109623903,0,0,2,0,0
gene-LOC109623904,0,0,0,0,0
gene-LOC109623905,24432,27182,21719,20455,15705
gene-LOC109623906,151,219,205,197,152
gene-LOC109623907,27,12,8,10,23
gene-LOC109623908,6,8,7,5,5
gene-LOC109623909,16,10,17,8,14
gene-LOC109623910,11,2,8,0,10
gene-LOC109623911,98,87,112,67,120
gene-LOC109623912,0,0,0,4,0
gene-LOC109623913,105,71,125,65,117
gene-LOC109623914,11154,11252,9559,7374,9772
gene-LOC109623915,66,54,115,60,91
gene-LOC109623916,42,29,86,20,55
gene-LOC109623918,7,2,1,2,1
gene-LOC109623919,0,0,0,0,0
gene-LOC109623920,1,0,0,0,0
gene-LOC109623921,0,0,0,0,0
gene-LOC109623922,2,2,8,2,6
gene-LOC109623923,9,8,8,3,7
gene-LOC109623924,1,2,6,0,4
gene-LOC109623925,2,2,1,3,4
gene-LOC109623926,0,0,0,2,0
gene-LOC109623927,29,36,27,16,20
gene-LOC109623929,0,0,0,0,0
gene-LOC109623930,17,20,27,4,22
gene-LOC109623931,0,0,0,0,0
gene-LOC109623932,2,9,17,4,5
gene-LOC109623933,4,0,0,2,2
gene-LOC109623934,0,0,0,0,0
gene-LOC109623935,173,154,192,85,67
gene-LOC109623936,19,5,8,13,23
gene-LOC109623938,6,2,8,6,2
gene-LOC109623939,0,0,0,0,0
gene-LOC109623940,0,0,0,0,0
gene-LOC109623941,1,17,7,14,13
gene-LOC109623943,11,2,8,0,14
gene-LOC109623944,0,0,0,0,0
gene-LOC109623945,239,184,140,91,323
gene-LOC109623947,0,0,0,0,0
gene-LOC109623948,447,289,602,231,407
gene-LOC109623950,0,0,6,0,2
gene-LOC109623951,22,45,44,191,18
gene-LOC109623953,24,36,18,10,24
gene-LOC109623954,0,0,0,0,0
gene-LOC109623955,202,99,116,54,135
gene-LOC109623961,0,0,2,0,2
gene-LOC109623969,0,0,0,0,0
gene-LOC109623971,0,2,2,0,0
gene-LOC109623972,141,139,166,123,162
gene-LOC109623974,81,110,118,124,106
gene-LOC109623977,10,16,13,16,15
gene-LOC109623978,0,0,0,0,0
gene-LOC109623979,0,0,0,0,0
gene-LOC109623983,16,15,11,35,12
gene-LOC109623989,0,0,0,4,1
gene-LOC109623992,65,56,68,55,72
gene-LOC109623993,9,0,13,3,4
gene-LOC109623994,0,0,0,0,0
gene-LOC109623996,2,5,8,0,2
gene-LOC109623998,2,4,6,8,10
gene-LOC109623999,0,1,0,0,8
gene-LOC109624003,0,0,0,2,0
gene-LOC109624004,87,49,51,15,64
gene-LOC109624005,2,6,2,0,6
gene-LOC109624006,0,4,0,2,2
gene-LOC109624009,7,0,3,0,10
gene-LOC109624010,4,6,9,1,6
gene-LOC109624011,6,0,2,0,2
gene-LOC109624014,2,2,2,0,0
gene-LOC109624016,41,17,30,4,34
gene-LOC109624018,0,0,0,0,0
gene-LOC109624020,0,0,0,0,0
gene-LOC109624026,11,5,4,0,13
gene-LOC109624030,0,0,0,0,0
gene-LOC109624031,0,0,2,0,0
gene-LOC109624032,2,4,0,0,4
gene-LOC109624033,0,4,0,0,0
gene-LOC109624036,8,10,20,8,14
gene-LOC109624040,2,2,4,3,2
gene-LOC109624042,34,19,18,41,19
gene-LOC109624044,4,2,0,0,0
gene-LOC109624045,468,508,778,443,531
gene-LOC109624046,105,162,103,116,150
gene-LOC109624048,0,0,0,2,0
gene-LOC109624051,0,0,0,0,0
gene-LOC109624052,0,0,0,0,0
gene-LOC109624054,3,13,0,2,4
gene-LOC109624055,0,0,0,1,0
gene-LOC109624057,0,0,2,26,0
gene-LOC109624059,0,0,0,2,0
gene-LOC109624061,17,31,22,42,18
gene-LOC109624063,54,60,41,41,75
gene-LOC109624064,0,0,0,0,0
gene-LOC109624065,3,5,0,6,8
gene-LOC109624066,108,58,115,41,156
gene-LOC109624068,254,217,331,107,286
gene-LOC109624069,5,1,21,4,6
gene-LOC109624070,36,13,16,4,26
gene-LOC109624072,0,2,0,0,0
gene-LOC109624073,28,10,2,2,20
gene-LOC109624074,0,0,0,0,0
gene-LOC109624076,0,0,0,0,0
gene-LOC109624077,0,0,11,7,0
gene-LOC109624078,0,0,0,0,0
gene-LOC109624079,0,0,0,0,0
gene-LOC109624080,0,0,0,0,0
gene-LOC109624081,0,0,0,0,0
gene-LOC109624082,0,0,0,0,0
gene-LOC109624083,0,0,0,0,0
gene-LOC109624084,0,0,0,0,0
gene-LOC109624085,0,0,0,0,0
gene-LOC109624086,97,83,104,34,82
gene-LOC109624087,2,1,0,0,2
gene-LOC109624088,2,0,0,3,0
gene-LOC109624089,0,0,0,2,0
gene-LOC109624090,0,0,0,0,0
gene-LOC109624091,0,0,0,0,0
gene-LOC109624093,0,0,0,0,0
gene-LOC109624096,2,0,0,0,0
gene-LOC109624098,170,226,315,174,296
gene-LOC109624099,0,0,0,0,0
gene-LOC109624101,593,448,575,420,661
gene-LOC109624102,0,0,0,0,0
gene-LOC109624105,49922,50400,32288,47922,37027
gene-LOC109624107,0,0,0,0,2
gene-LOC109624108,3,0,0,0,0
gene-LOC109624109,0,0,0,0,0
gene-LOC109624110,0,2,3,2,0
gene-LOC109624111,0,0,0,0,0
gene-LOC109624113,0,0,0,0,0
gene-LOC109624118,0,0,0,0,0
gene-LOC109624119,0,0,2,0,0
gene-LOC109624120,0,0,0,0,0
gene-LOC109624121,201,198,234,134,232
gene-LOC109624122,0,0,0,0,0
gene-LOC109624123,94,133,268,7641,107
gene-LOC109624124,1803,1749,2009,2019,1176
gene-LOC109624125,2,4,10,3,10
gene-LOC109624131,34,33,27,13,20
gene-LOC109624134,0,0,0,1,0
gene-LOC109624136,14,16,15,14,10
gene-LOC109624137,0,0,0,0,0
gene-LOC109624138,33,36,32,18,53
gene-LOC109624144,4,11,4,16,8
gene-LOC109624146,10,17,19,3,19
gene-LOC109624147,0,0,0,0,0
gene-LOC109624148,0,0,0,2,0
gene-LOC109624149,94,120,224,99,135
gene-LOC109624151,0,2,0,0,2
gene-LOC109624155,4,8,0,0,8
gene-LOC109624156,51,41,170,18,115
gene-LOC109624157,58,67,101,40,102
gene-LOC109624158,0,0,0,0,0
gene-LOC109624159,2,0,0,0,0
gene-LOC109624161,130,80,122,99,144
gene-LOC109624165,352,266,712,355,449
gene-LOC109624167,0,0,0,0,0
gene-LOC109624168,0,0,0,0,6
gene-LOC109624169,49081,30336,42339,28975,17305
gene-LOC109624170,0,0,0,0,0
gene-LOC109624176,0,0,4,0,0
gene-LOC109624179,16,22,18,13,17
gene-LOC109624180,18,9,3,6,10
gene-LOC109624181,42,33,47,28,28
gene-LOC109624182,6,22,16,9,14
gene-LOC109624183,0,0,2,0,0
gene-LOC109624184,0,0,0,0,0
gene-LOC109624185,0,0,0,0,0
gene-LOC109624186,1958,690,974,1035,477
gene-LOC109624187,33,4,32,17,0
gene-LOC109624188,21,52,32,23,51
gene-LOC109624190,10,2,38,34,10
gene-LOC109624192,210914,247828,173154,253117,138927
gene-LOC109624195,14,8,2,2,6
gene-LOC109624196,25,48,69,30,42
gene-LOC109624198,10,9,12,15,18
gene-LOC109624200,39,24,36,23,45
gene-LOC109624203,53,47,18,20,39
gene-LOC109624204,372,302,387,217,514
gene-LOC109624205,24,22,13,8,2
gene-LOC109624206,4,4,0,6,0
gene-LOC109624207,29,31,11,17,18
gene-LOC109624208,0,0,0,0,0
gene-LOC109624209,0,0,2,0,0
gene-LOC109624210,38,82,725,74,726
gene-LOC109624211,46,91,606,76,647
gene-LOC109624215,0,2,0,0,0
gene-LOC109624218,209,124,49,44,141
gene-LOC109624219,1,0,0,0,0
gene-LOC109624220,0,0,0,0,0
gene-LOC109624221,0,0,0,0,0
gene-LOC109624224,61,49,71,40,151
gene-LOC109624227,2,0,0,0,0
gene-LOC109624228,2,0,1,2,4
gene-LOC109624231,0,0,0,0,0
gene-LOC109624234,0,0,0,0,0
gene-LOC109624236,23,8,10,14,14
gene-LOC109624237,2,0,0,2,2
gene-LOC109624238,0,0,0,2,0
gene-LOC109624239,0,1,2,2,0
gene-LOC109624240,2,0,4,0,2
gene-LOC109624241,9,13,46,2,22
gene-LOC109624242,0,0,0,0,0
gene-LOC109624243,0,4,4,2,2
gene-LOC109624244,63,62,18,31,29
gene-LOC109624245,0,2,0,0,0
gene-LOC109624246,4,4,4,4,2
gene-LOC109624247,0,0,0,4,0
gene-LOC109624248,0,2,0,0,2
gene-LOC109624249,0,0,0,0,0
gene-LOC109624250,0,0,0,2,0
gene-LOC109624252,19,2,12,4,2
gene-LOC109624253,4064,3140,7218,3585,1807
gene-LOC109624254,359,305,661,303,499
gene-LOC109624255,0,2,0,2,2
gene-LOC109624258,0,0,0,0,0
gene-LOC109624259,4,8,6,2,0
gene-LOC109624260,2,0,0,0,0
gene-LOC109624261,0,0,2,4,0
gene-LOC109624262,0,0,0,0,0
gene-LOC109624265,4,4,25,2,47
gene-LOC109624266,8,1,2,1,2
gene-LOC109624267,0,0,0,26,2
gene-LOC109624268,9,5,8,0,15
gene-LOC109624269,3,9,0,0,10
gene-LOC109624270,2,4,8,0,0
gene-LOC109624271,102,87,106,46,75
gene-LOC109624272,0,0,0,0,0
gene-LOC109624274,2,0,16,2,0
gene-LOC109624275,0,2,8,6,2
gene-LOC109624276,6,14,9,8,6
gene-LOC109624277,0,0,0,0,0
gene-LOC109624279,14,26,22,70,19
gene-LOC109624281,0,0,0,0,0
gene-LOC109624282,1,0,3,0,0
gene-LOC109624283,2,4,57,4,10
gene-LOC109624284,2,0,0,0,0
gene-LOC109624286,2,0,0,0,0
gene-LOC109624288,0,0,0,0,0
gene-LOC109624290,0,0,6,139,0
gene-LOC109624291,2,2,155,4,32
gene-LOC109624292,0,0,0,0,0
gene-LOC109624293,0,0,0,0,0
gene-LOC109624294,2,14,8,0,2
gene-LOC109624295,181,170,136,174,194
gene-LOC109624296,0,0,0,0,0
gene-LOC109624297,99,88,165,100,133
gene-LOC109624298,6,11,14,7,4
gene-LOC109624300,49,52,40,10,53
gene-LOC109624302,0,0,0,0,0
gene-LOC109624304,0,0,0,0,0
gene-LOC109624305,0,0,0,0,0
gene-LOC109624306,0,0,0,0,0
gene-LOC109624308,340,351,467,198,379
gene-LOC109624309,549,578,730,977,563
gene-LOC109624310,0,2,3,3,2
gene-LOC109624312,15,19,31,24,26
gene-LOC109624316,1262,1175,1709,847,1044
gene-LOC109624317,6,5,6,2,5
gene-LOC109624318,345,391,396,184,376
gene-LOC109624320,0,0,0,0,0
gene-LOC109624326,17,34,31,19,30
gene-LOC109624331,2,0,0,0,2
gene-LOC109624332,136,194,175,141,177
gene-LOC109624333,0,0,0,0,0
gene-LOC109624334,0,0,0,0,0
gene-LOC109624339,0,0,0,2,0
gene-LOC109624341,0,0,0,1,0
gene-LOC109624342,3,9,34,11,22
gene-LOC109624350,201,272,146,95,305
gene-LOC109624353,0,0,0,1,0
